familia,sku,handle,url_ficha,diametro,anchura,pcd,et,acabado_codigo_proveedor,precio_guardado_eur,precio_visible,estado_producto,canal,comprable
SJW-038,OYL260416094,sjw-038-17x7-5-5x112-et35-mb-l,https://5y82gi-yt.myshopify.com/products/sjw-038-17x7-5-5x112-et35-mb-l,17,7.5,5x112,35,MB+L,699.00,Precio bajo consulta,ACTIVO,Tienda online,"NO (inventario 0, DENY, seguido)"
SJW-038,OYL260416096,sjw-038-18x8-0-5x112-et35-mb-l,https://5y82gi-yt.myshopify.com/products/sjw-038-18x8-0-5x112-et35-mb-l,18,8.0,5x112,35,MB+L,799.00,Precio bajo consulta,ACTIVO,Tienda online,"NO (inventario 0, DENY, seguido)"
SJW-038,OYL260416097,sjw-038-18x8-0-5x112-et35-ybz,https://5y82gi-yt.myshopify.com/products/sjw-038-18x8-0-5x112-et35-ybz,18,8.0,5x112,35,YBZ,799.00,Precio bajo consulta,ACTIVO,Tienda online,"NO (inventario 0, DENY, seguido)"
SJW-038,OYL260416099,sjw-038-19x8-5-5x112-et30-mb-l,https://5y82gi-yt.myshopify.com/products/sjw-038-19x8-5-5x112-et30-mb-l,19,8.5,5x112,30,MB+L,899.00,Precio bajo consulta,ACTIVO,Tienda online,"NO (inventario 0, DENY, seguido)"
SJW-038,OYL260416100,sjw-038-20x9-0-5x112-et30-mb-l,https://5y82gi-yt.myshopify.com/products/sjw-038-20x9-0-5x112-et30-mb-l,20,9.0,5x112,30,MB+L,999.00,Precio bajo consulta,ACTIVO,Tienda online,"NO (inventario 0, DENY, seguido)"
SJW-038,OYL260416101,sjw-038-21x9-0-5x112-et25-mb-l,https://5y82gi-yt.myshopify.com/products/sjw-038-21x9-0-5x112-et25-mb-l,21,9.0,5x112,25,MB+L,1099.00,Precio bajo consulta,ACTIVO,Tienda online,"NO (inventario 0, DENY, seguido)"
SJW-040,OYL260416104,sjw-040-18x8-0-5x112-et36-mb,https://5y82gi-yt.myshopify.com/products/sjw-040-18x8-0-5x112-et36-mb,18,8.0,5x112,36,MB,799.00,Precio bajo consulta,ACTIVO,Tienda online,"NO (inventario 0, DENY, seguido)"
SJW-040,OYL260416106,sjw-040-18x8-0-5x112-et36-mg,https://5y82gi-yt.myshopify.com/products/sjw-040-18x8-0-5x112-et36-mg,18,8.0,5x112,36,MG,799.00,Precio bajo consulta,ACTIVO,Tienda online,"NO (inventario 0, DENY, seguido)"
SJW-040,OYL260416105,sjw-040-18x9-0-5x112-et42-mb,https://5y82gi-yt.myshopify.com/products/sjw-040-18x9-0-5x112-et42-mb,18,9.0,5x112,42,MB,799.00,Precio bajo consulta,ACTIVO,Tienda online,"NO (inventario 0, DENY, seguido)"
SJW-040,OYL260416107,sjw-040-18x9-0-5x112-et42-mg,https://5y82gi-yt.myshopify.com/products/sjw-040-18x9-0-5x112-et42-mg,18,9.0,5x112,42,MG,799.00,Precio bajo consulta,ACTIVO,Tienda online,"NO (inventario 0, DENY, seguido)"
SJW-040,OYL260416109,sjw-040-19x9-5-5x112-et43-mb,https://5y82gi-yt.myshopify.com/products/sjw-040-19x9-5-5x112-et43-mb,19,9.5,5x112,43,MB,899.00,Precio bajo consulta,ACTIVO,Tienda online,"NO (inventario 0, DENY, seguido)"
SJW-040,OYL260416108,sjw-040-19x9-5-5x112-et43-mg,https://5y82gi-yt.myshopify.com/products/sjw-040-19x9-5-5x112-et43-mg,19,9.5,5x112,43,MG,899.00,Precio bajo consulta,ACTIVO,Tienda online,"NO (inventario 0, DENY, seguido)"
SJW-040,OYL260416111,sjw-040-20x8-5-5x112-et36-mb,https://5y82gi-yt.myshopify.com/products/sjw-040-20x8-5-5x112-et36-mb,20,8.5,5x112,36,MB,999.00,Precio bajo consulta,ACTIVO,Tienda online,"NO (inventario 0, DENY, seguido)"
SJW-040,OYL260416110,sjw-040-20x8-5-5x112-et36-mg,https://5y82gi-yt.myshopify.com/products/sjw-040-20x8-5-5x112-et36-mg,20,8.5,5x112,36,MG,999.00,Precio bajo consulta,ACTIVO,Tienda online,"NO (inventario 0, DENY, seguido)"
SJW-040,OYL260416112,sjw-040-20x9-5-5x112-et43-mb,https://5y82gi-yt.myshopify.com/products/sjw-040-20x9-5-5x112-et43-mb,20,9.5,5x112,43,MB,999.00,Precio bajo consulta,ACTIVO,Tienda online,"NO (inventario 0, DENY, seguido)"
SJW-041,OYL260416115,sjw-041-18x8-0-5x112-et40-mb,https://5y82gi-yt.myshopify.com/products/sjw-041-18x8-0-5x112-et40-mb,18,8.0,5x112,40,MB,799.00,Precio bajo consulta,ACTIVO,Tienda online,"NO (inventario 0, DENY, seguido)"
SJW-041,OYL260416113,sjw-041-18x8-0-5x112-et40-mbi,https://5y82gi-yt.myshopify.com/products/sjw-041-18x8-0-5x112-et40-mbi,18,8.0,5x112,40,MBI,799.00,Precio bajo consulta,ACTIVO,Tienda online,"NO (inventario 0, DENY, seguido)"
SJW-041,OYL260416117,sjw-041-18x8-0-5x112-et35-mbi,https://5y82gi-yt.myshopify.com/products/sjw-041-18x8-0-5x112-et35-mbi,18,8.0,5x112,35,MBI,799.00,Precio bajo consulta,ACTIVO,Tienda online,"NO (inventario 0, DENY, seguido)"
SJW-041,OYL260416116,sjw-041-18x9-0-5x112-et45-mb,https://5y82gi-yt.myshopify.com/products/sjw-041-18x9-0-5x112-et45-mb,18,9.0,5x112,45,MB,799.00,Precio bajo consulta,ACTIVO,Tienda online,"NO (inventario 0, DENY, seguido)"
SJW-041,OYL260416114,sjw-041-18x9-0-5x112-et45-mbi,https://5y82gi-yt.myshopify.com/products/sjw-041-18x9-0-5x112-et45-mbi,18,9.0,5x112,45,MBI,799.00,Precio bajo consulta,ACTIVO,Tienda online,"NO (inventario 0, DENY, seguido)"
SJW-041,OYL260416120,sjw-041-19x8-0-5x112-et36-mb,https://5y82gi-yt.myshopify.com/products/sjw-041-19x8-0-5x112-et36-mb,19,8.0,5x112,36,MB,899.00,Precio bajo consulta,ACTIVO,Tienda online,"NO (inventario 0, DENY, seguido)"
SJW-041,OYL260416118,sjw-041-19x8-0-5x112-et36-mbi,https://5y82gi-yt.myshopify.com/products/sjw-041-19x8-0-5x112-et36-mbi,19,8.0,5x112,36,MBI,899.00,Precio bajo consulta,ACTIVO,Tienda online,"NO (inventario 0, DENY, seguido)"
SJW-041,OYL260416121,sjw-041-19x9-0-5x112-et42-mb,https://5y82gi-yt.myshopify.com/products/sjw-041-19x9-0-5x112-et42-mb,19,9.0,5x112,42,MB,899.00,Precio bajo consulta,ACTIVO,Tienda online,"NO (inventario 0, DENY, seguido)"
SJW-041,OYL260416119,sjw-041-19x9-0-5x112-et42-mbi,https://5y82gi-yt.myshopify.com/products/sjw-041-19x9-0-5x112-et42-mbi,19,9.0,5x112,42,MBI,899.00,Precio bajo consulta,ACTIVO,Tienda online,"NO (inventario 0, DENY, seguido)"
SJW-041,OYL260416122,sjw-041-20x8-5-5x112-et36-mb,https://5y82gi-yt.myshopify.com/products/sjw-041-20x8-5-5x112-et36-mb,20,8.5,5x112,36,MB,999.00,Precio bajo consulta,ACTIVO,Tienda online,"NO (inventario 0, DENY, seguido)"
