sku,familia,handle,acabado_codigo_proveedor,archivo_imagen,huella_sha256_8,imagen_asignada_url,texto_alternativo,origen_de_la_correspondencia,resultado,nota
OYL260416094,SJW-038,sjw-038-17x7-5-5x112-et35-mb-l,MB+L,038.png,8482ae5d,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-038_e859722e-fb04-406a-a560-0c3d2875d6c1.png,"Juego de llantas 17X7.5 Audi, referencia OYL260416094","Archivo original del propietario, sin cambios: la URL de la auditoría inicial (data/auditoria-productos-publicacion-inicial.csv) coincide con la asignada hoy en Shopify; el nombre del archivo (wheel-design-038) coincide con la familia.",Correcta,El proveedor facilita una sola imagen por diseño; la de SJW-038 corresponde al acabado MB+L.
OYL260416096,SJW-038,sjw-038-18x8-0-5x112-et35-mb-l,MB+L,038.png,8482ae5d,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-038_cde510bb-de6d-4820-b51f-f36a7f4a98e0.png,"Juego de llantas 18X8.0 Audi, referencia OYL260416096","Archivo original del propietario, sin cambios: la URL de la auditoría inicial (data/auditoria-productos-publicacion-inicial.csv) coincide con la asignada hoy en Shopify; el nombre del archivo (wheel-design-038) coincide con la familia.",Correcta,El proveedor facilita una sola imagen por diseño; la de SJW-038 corresponde al acabado MB+L.
OYL260416097,SJW-038,sjw-038-18x8-0-5x112-et35-ybz,YBZ,038.png,8482ae5d,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-038_01eb7669-2b83-4b59-8259-d9ada999a5db.png,"Juego de llantas 18X8.0 Audi, referencia OYL260416097","Archivo original del propietario, sin cambios: la URL de la auditoría inicial (data/auditoria-productos-publicacion-inicial.csv) coincide con la asignada hoy en Shopify; el nombre del archivo (wheel-design-038) coincide con la familia.",Referencia de otro acabado,El proveedor facilita una sola imagen por diseño; la de SJW-038 corresponde al acabado MB+L.
OYL260416099,SJW-038,sjw-038-19x8-5-5x112-et30-mb-l,MB+L,038.png,8482ae5d,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-038_8d61c48d-08bb-409c-9da3-3eb0ef4a4971.png,"Juego de llantas 19X8.5 Audi, referencia OYL260416099","Archivo original del propietario, sin cambios: la URL de la auditoría inicial (data/auditoria-productos-publicacion-inicial.csv) coincide con la asignada hoy en Shopify; el nombre del archivo (wheel-design-038) coincide con la familia.",Correcta,El proveedor facilita una sola imagen por diseño; la de SJW-038 corresponde al acabado MB+L.
OYL260416100,SJW-038,sjw-038-20x9-0-5x112-et30-mb-l,MB+L,038.png,8482ae5d,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-038_28c1acf0-c137-492d-9312-24f844f22ffc.png,"Juego de llantas 20X9.0 Audi, referencia OYL260416100","Archivo original del propietario, sin cambios: la URL de la auditoría inicial (data/auditoria-productos-publicacion-inicial.csv) coincide con la asignada hoy en Shopify; el nombre del archivo (wheel-design-038) coincide con la familia.",Correcta,El proveedor facilita una sola imagen por diseño; la de SJW-038 corresponde al acabado MB+L.
OYL260416101,SJW-038,sjw-038-21x9-0-5x112-et25-mb-l,MB+L,038.png,8482ae5d,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-038_83c576f2-b856-4413-ba40-bec34b25467c.png,"Juego de llantas 21X9.0 Audi, referencia OYL260416101","Archivo original del propietario, sin cambios: la URL de la auditoría inicial (data/auditoria-productos-publicacion-inicial.csv) coincide con la asignada hoy en Shopify; el nombre del archivo (wheel-design-038) coincide con la familia.",Correcta,El proveedor facilita una sola imagen por diseño; la de SJW-038 corresponde al acabado MB+L.
OYL260416104,SJW-040,sjw-040-18x8-0-5x112-et36-mb,MB,040.png,ff18768f,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-040_34184ea2-a495-4635-8a13-e143bc3ad903.png,"Juego de llantas 18X8.0 Mercedes-Benz, referencia OYL260416104","Archivo original del propietario, sin cambios: la URL de la auditoría inicial (data/auditoria-productos-publicacion-inicial.csv) coincide con la asignada hoy en Shopify; el nombre del archivo (wheel-design-040) coincide con la familia.",Correcta,El proveedor facilita una sola imagen por diseño; la de SJW-040 corresponde al acabado MB.
OYL260416105,SJW-040,sjw-040-18x9-0-5x112-et42-mb,MB,040.png,ff18768f,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-040_b109675a-9cc5-4939-8ffd-221fc7a54dd9.png,"Juego de llantas 18X9.0 Mercedes-Benz, referencia OYL260416105","Archivo original del propietario, sin cambios: la URL de la auditoría inicial (data/auditoria-productos-publicacion-inicial.csv) coincide con la asignada hoy en Shopify; el nombre del archivo (wheel-design-040) coincide con la familia.",Correcta,El proveedor facilita una sola imagen por diseño; la de SJW-040 corresponde al acabado MB.
OYL260416106,SJW-040,sjw-040-18x8-0-5x112-et36-mg,MG,040.png,ff18768f,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-040_b231b023-e384-4e95-8bd2-51e3c3cdb41b.png,"Juego de llantas 18X8.0 Mercedes-Benz, referencia OYL260416106","Archivo original del propietario, sin cambios: la URL de la auditoría inicial (data/auditoria-productos-publicacion-inicial.csv) coincide con la asignada hoy en Shopify; el nombre del archivo (wheel-design-040) coincide con la familia.",Referencia de otro acabado,El proveedor facilita una sola imagen por diseño; la de SJW-040 corresponde al acabado MB.
OYL260416107,SJW-040,sjw-040-18x9-0-5x112-et42-mg,MG,040.png,ff18768f,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-040_1148eb1d-321a-4fea-9d40-ab43f052d996.png,Juego de 4 llantas 18 pulgadas Mercedes-Benz – OYL260416107,"Archivo original del propietario, sin cambios: la URL de la auditoría inicial (data/auditoria-productos-publicacion-inicial.csv) coincide con la asignada hoy en Shopify; el nombre del archivo (wheel-design-040) coincide con la familia.",Referencia de otro acabado,El proveedor facilita una sola imagen por diseño; la de SJW-040 corresponde al acabado MB.
