sku,product_id,variant_id,inventory_item_id,precio_eur,inventory_policy_anterior,tracked_anterior,disponible_anterior,ubicacion
OYL260416094,10898627330381,54779879096653,56833177485645,699.00,CONTINUE,false,0,Shop location (113224188237)
OYL260416096,10898627461453,54779879489869,56833177878861,799.00,CONTINUE,false,0,Shop location (113224188237)
OYL260416097,10898627526989,54779879555405,56833177944397,799.00,CONTINUE,false,0,Shop location (113224188237)
OYL260416099,10898627625293,54779879784781,56833178173773,899.00,CONTINUE,false,0,Shop location (113224188237)
OYL260416100,10898627658061,54779879817549,56833178206541,999.00,CONTINUE,false,0,Shop location (113224188237)
OYL260416101,10898627723597,54779879883085,56833178272077,1099.00,CONTINUE,false,0,Shop location (113224188237)
OYL260416104,10898627821901,54779879981389,56833178370381,799.00,CONTINUE,false,0,Shop location (113224188237)
OYL260416105,10898627854669,54779880014157,56833178403149,799.00,CONTINUE,false,0,Shop location (113224188237)
OYL260416106,10898627887437,54779880046925,56833178435917,799.00,CONTINUE,false,0,Shop location (113224188237)
OYL260416107,10898627952973,54779880243533,56833178632525,799.00,CONTINUE,false,0,Shop location (113224188237)
OYL260416108,10898628018509,54779880341837,56833178730829,899.00,CONTINUE,false,0,Shop location (113224188237)
OYL260416109,10898628051277,54779880374605,56833178763597,899.00,CONTINUE,false,0,Shop location (113224188237)
OYL260416110,10898628116813,54779880440141,56833178829133,999.00,CONTINUE,false,0,Shop location (113224188237)
OYL260416111,10898628215117,54779880505677,56833178894669,999.00,CONTINUE,false,0,Shop location (113224188237)
OYL260416112,10898628247885,54779880636749,56833179025741,999.00,CONTINUE,false,0,Shop location (113224188237)
OYL260416113,10898628313421,54779880833357,56833179222349,799.00,CONTINUE,false,0,Shop location (113224188237)
OYL260416114,10898628346189,54779880866125,56833179255117,799.00,CONTINUE,false,0,Shop location (113224188237)
OYL260416115,10898628411725,54779881062733,56833179451725,799.00,CONTINUE,false,0,Shop location (113224188237)
OYL260416116,10898628477261,54779881128269,56833179517261,799.00,CONTINUE,false,0,Shop location (113224188237)
OYL260416117,10898628510029,54779881161037,56833179550029,799.00,CONTINUE,false,0,Shop location (113224188237)
OYL260416118,10898628575565,54779881357645,56833179746637,899.00,CONTINUE,false,0,Shop location (113224188237)
OYL260416119,10898628608333,54779881390413,56833179779405,899.00,CONTINUE,false,0,Shop location (113224188237)
OYL260416120,10898628673869,54779881521485,56833179910477,899.00,CONTINUE,false,0,Shop location (113224188237)
OYL260416121,10898628739405,54779881652557,56833180041549,899.00,CONTINUE,false,0,Shop location (113224188237)
OYL260416122,10898628772173,54779881685325,56833180074317,999.00,CONTINUE,false,0,Shop location (113224188237)
OYL260416123,10898628837709,54779881881933,56833180270925,999.00,CONTINUE,false,0,Shop location (113224188237)
OYL260416124,10898628903245,54779881914701,56833180303693,999.00,CONTINUE,false,0,Shop location (113224188237)
OYL260416125,10898628968781,54779882144077,56833180533069,999.00,CONTINUE,false,0,Shop location (113224188237)
OYL260416127,10898629099853,54779882701133,56833181090125,799.00,CONTINUE,false,0,Shop location (113224188237)
OYL260416128,10898629132621,54779882897741,56833181286733,799.00,CONTINUE,false,0,Shop location (113224188237)
OYL260416129,10898629198157,54779883258189,56833181647181,899.00,CONTINUE,false,0,Shop location (113224188237)
OYL260416130,10898629230925,54779883290957,56833181679949,899.00,CONTINUE,false,0,Shop location (113224188237)
OYL260416131,10898629296461,54779883422029,56833181811021,999.00,CONTINUE,false,0,Shop location (113224188237)
OYL260416132,10898629361997,54779883487565,56833181876557,999.00,CONTINUE,false,0,Shop location (113224188237)
OYL260416133,10898629394765,54779883520333,56833181909325,1099.00,CONTINUE,false,0,Shop location (113224188237)
OYL260416134,10898629460301,54779883684173,56833182073165,1099.00,CONTINUE,false,0,Shop location (113224188237)
OYL260416135,10898629493069,54779883716941,56833182105933,899.00,CONTINUE,false,0,Shop location (113224188237)
OYL260416136,10898629558605,54779883782477,56833182171469,899.00,CONTINUE,false,0,Shop location (113224188237)
OYL260416137,10898629624141,54779884142925,56833182531917,999.00,CONTINUE,false,0,Shop location (113224188237)
OYL260416138,10898629656909,54779884175693,56833182564685,999.00,CONTINUE,false,0,Shop location (113224188237)
OYL260416141,10898629853517,54779884667213,56833183056205,1099.00,CONTINUE,false,0,Shop location (113224188237)
OYL260416142,10898629919053,54779884699981,56833183088973,1099.00,CONTINUE,false,0,Shop location (113224188237)
OYL260416143,10898629984589,54779885781325,56833183351117,1249.00,CONTINUE,false,0,Shop location (113224188237)
OYL260416144,10898630017357,54779885814093,56833184203085,1249.00,CONTINUE,false,0,Shop location (113224188237)
OYL260416145,10898630050125,54779885846861,56833184235853,1249.00,CONTINUE,false,0,Shop location (113224188237)
OYL260416157,10898630803789,54779887583565,56833185972557,899.00,CONTINUE,false,0,Shop location (113224188237)
OYL260416158,10898630869325,54779887616333,56833186005325,899.00,CONTINUE,false,0,Shop location (113224188237)
OYL260416159,10898630902093,54779887812941,56833186201933,899.00,CONTINUE,false,0,Shop location (113224188237)
OYL260416160,10898630967629,54779888009549,56833186398541,899.00,CONTINUE,false,0,Shop location (113224188237)
OYL260416161,10898631000397,54779888042317,56833186431309,999.00,CONTINUE,false,0,Shop location (113224188237)
OYL260416162,10898631065933,54779888173389,56833186562381,999.00,CONTINUE,false,0,Shop location (113224188237)
OYL260416163,10898631131469,54779888369997,56833186758989,999.00,CONTINUE,false,0,Shop location (113224188237)
OYL260416164,10898631164237,54779888402765,56833186791757,999.00,CONTINUE,false,0,Shop location (113224188237)
OYL260416165,10898631229773,54779888599373,56833186988365,999.00,CONTINUE,false,0,Shop location (113224188237)
OYL260416166,10898631295309,54779888795981,56833187184973,999.00,CONTINUE,false,0,Shop location (113224188237)
OYL260416167,10898631328077,54779888828749,56833187217741,1099.00,CONTINUE,false,0,Shop location (113224188237)
OYL260416168,10898631426381,54779889058125,56833187447117,1099.00,CONTINUE,false,0,Shop location (113224188237)
OYL260416169,10898631459149,54779889090893,56833187479885,1099.00,CONTINUE,false,0,Shop location (113224188237)
OYL260416170,10898631524685,54779889320269,56833187709261,1099.00,CONTINUE,false,0,Shop location (113224188237)
OYL260416201,10898633261389,54779893449037,56833191838029,899.00,CONTINUE,false,0,Shop location (113224188237)
OYL260416202,10898633326925,54779893645645,56833192034637,899.00,CONTINUE,false,0,Shop location (113224188237)
OYL260416203,10898633359693,54779893678413,56833192067405,999.00,CONTINUE,false,0,Shop location (113224188237)
OYL260416204,10898633425229,54779893875021,56833192264013,999.00,CONTINUE,false,0,Shop location (113224188237)
OYL260416205,10898633457997,54779893907789,56833192296781,999.00,CONTINUE,false,0,Shop location (113224188237)
OYL260416206,10898633523533,54779894104397,56833192493389,999.00,CONTINUE,false,0,Shop location (113224188237)
OYL260416207,10898633589069,54779894169933,56833192558925,999.00,CONTINUE,false,0,Shop location (113224188237)
OYL260416208,10898633654605,54779894366541,56833192755533,999.00,CONTINUE,false,0,Shop location (113224188237)
OYL260416282,10898638143821,54779905278285,56833203667277,799.00,CONTINUE,false,0,Shop location (113224188237)
OYL260416283,10898638209357,54779905409357,56833203798349,799.00,CONTINUE,false,0,Shop location (113224188237)
OYL260416284,10898638242125,54779905442125,56833203831117,799.00,CONTINUE,false,0,Shop location (113224188237)
OYL260416285,10898638307661,54779905507661,56833203896653,799.00,CONTINUE,false,0,Shop location (113224188237)
OYL260416286,10898638373197,54779905704269,56833204093261,899.00,CONTINUE,false,0,Shop location (113224188237)
OYL260416287,10898638471501,54779905900877,56833204289869,899.00,CONTINUE,false,0,Shop location (113224188237)
OYL260416288,10898638504269,54779905933645,56833204322637,899.00,CONTINUE,false,0,Shop location (113224188237)
OYL260416289,10898638602573,54779906064717,56833204453709,899.00,CONTINUE,false,0,Shop location (113224188237)
OYL260416290,10898638668109,54779906261325,56833204650317,999.00,CONTINUE,false,0,Shop location (113224188237)
OYL260416291,10898638733645,54779906326861,56833204715853,999.00,CONTINUE,false,0,Shop location (113224188237)
OYL260416292,10898638799181,54779906457933,56833204846925,999.00,CONTINUE,false,0,Shop location (113224188237)
OYL260416293,10898638831949,54779906523469,56833204912461,999.00,CONTINUE,false,0,Shop location (113224188237)
OYL260416426,10898645877069,54779921924429,56833220313421,899.00,CONTINUE,false,0,Shop location (113224188237)
OYL260416427,10898645942605,54779921989965,56833220378957,899.00,CONTINUE,false,0,Shop location (113224188237)
OYL260416428,10898646040909,54779922219341,56833220444493,999.00,CONTINUE,false,0,Shop location (113224188237)
OYL260416429,10898646106445,54779922284877,56833220673869,999.00,CONTINUE,false,0,Shop location (113224188237)
