sku,familia,producto_original_handle,producto_original_id,variante_original_id,producto_nuevo_handle,producto_nuevo_id,variante_nueva_id,medida,montaje,acabado,precio_guardado_eur,url_original,url_nueva,resultado
OYL260416094,SJW-038,sjw-038-17x7-5-5x112-et35-mb-l,10898627330381,54779879096653,sjw-038,10904755306829,54793321972045,"17 × 7,5""","5x112 · ET35 · Buje 66,45 mm",MB+L,699.00,/products/sjw-038-17x7-5-5x112-et35-mb-l,/products/sjw-038?variant=54793321972045,Migrado
OYL260416096,SJW-038,sjw-038-18x8-0-5x112-et35-mb-l,10898627461453,54779879489869,sjw-038,10904755306829,54793322004813,"18 × 8,0""","5x112 · ET35 · Buje 66,45 mm",MB+L,799.00,/products/sjw-038-18x8-0-5x112-et35-mb-l,/products/sjw-038?variant=54793322004813,Migrado
OYL260416097,SJW-038,sjw-038-18x8-0-5x112-et35-ybz,10898627526989,54779879555405,sjw-038,10904755306829,54793322037581,"18 × 8,0""","5x112 · ET35 · Buje 66,45 mm",YBZ,799.00,/products/sjw-038-18x8-0-5x112-et35-ybz,/products/sjw-038?variant=54793322037581,Migrado
OYL260416099,SJW-038,sjw-038-19x8-5-5x112-et30-mb-l,10898627625293,54779879784781,sjw-038,10904755306829,54793322070349,"19 × 8,5""","5x112 · ET30 · Buje 66,45 mm",MB+L,899.00,/products/sjw-038-19x8-5-5x112-et30-mb-l,/products/sjw-038?variant=54793322070349,Migrado
OYL260416100,SJW-038,sjw-038-20x9-0-5x112-et30-mb-l,10898627658061,54779879817549,sjw-038,10904755306829,54793322103117,"20 × 9,0""","5x112 · ET30 · Buje 66,45 mm",MB+L,999.00,/products/sjw-038-20x9-0-5x112-et30-mb-l,/products/sjw-038?variant=54793322103117,Migrado
OYL260416101,SJW-038,sjw-038-21x9-0-5x112-et25-mb-l,10898627723597,54779879883085,sjw-038,10904755306829,54793322135885,"21 × 9,0""","5x112 · ET25 · Buje 66,5 mm",MB+L,1099.00,/products/sjw-038-21x9-0-5x112-et25-mb-l,/products/sjw-038?variant=54793322135885,Migrado
OYL260416104,SJW-040,sjw-040-18x8-0-5x112-et36-mb,10898627821901,54779879981389,sjw-040,10904755962189,54793322627405,"18 × 8,0""","5x112 · ET36 · Buje 66,5 mm",MB,799.00,/products/sjw-040-18x8-0-5x112-et36-mb,/products/sjw-040?variant=54793322627405,Migrado
OYL260416105,SJW-040,sjw-040-18x9-0-5x112-et42-mb,10898627854669,54779880014157,sjw-040,10904755962189,54793322692941,"18 × 9,0""","5x112 · ET42 · Buje 66,5 mm",MB,799.00,/products/sjw-040-18x9-0-5x112-et42-mb,/products/sjw-040?variant=54793322692941,Migrado
OYL260416106,SJW-040,sjw-040-18x8-0-5x112-et36-mg,10898627887437,54779880046925,sjw-040,10904755962189,54793322660173,"18 × 8,0""","5x112 · ET36 · Buje 66,5 mm",MG,799.00,/products/sjw-040-18x8-0-5x112-et36-mg,/products/sjw-040?variant=54793322660173,Migrado
OYL260416107,SJW-040,sjw-040-18x9-0-5x112-et42-mg,10898627952973,54779880243533,sjw-040,10904755962189,54793322725709,"18 × 9,0""","5x112 · ET42 · Buje 66,5 mm",MG,799.00,/products/sjw-040-18x9-0-5x112-et42-mg,/products/sjw-040?variant=54793322725709,Migrado
OYL260416108,SJW-040,sjw-040-19x9-5-5x112-et43-mg,10898628018509,54779880341837,sjw-040,10904755962189,54793322791245,"19 × 9,5""","5x112 · ET43 · Buje 66,5 mm",MG,899.00,/products/sjw-040-19x9-5-5x112-et43-mg,/products/sjw-040?variant=54793322791245,Migrado
OYL260416109,SJW-040,sjw-040-19x9-5-5x112-et43-mb,10898628051277,54779880374605,sjw-040,10904755962189,54793322758477,"19 × 9,5""","5x112 · ET43 · Buje 66,5 mm",MB,899.00,/products/sjw-040-19x9-5-5x112-et43-mb,/products/sjw-040?variant=54793322758477,Migrado
