posicion,familia,puntuacion,p_imagen,p_ficha,p_medidas,p_pcd,p_precio,p_sku,p_estetica,p_stock,motivo,num_medidas,num_sku,diametros,pcds,acabados,marcas,calidad_imagenes,problemas,problemas_globales,estado_final
1,wheel-design-044,82.4,17.4,20.0,15,5.0,10.0,10.0,5.0,0.0,"Seleccionada: 8 medidas (19/20/21/22""), PCD 5x112, acabados MB, MG, imagen mediana 868px, ficha técnica completa en los 11 productos.",8,11,19/20/21/22,5x112,MB MG,mercedes-benz,"mediana 868px, mínima 868px",ninguno de calidad,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 0 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,SELECCIONADA — NO PUBLICADA (precio y transporte bloqueantes a nivel de tienda)
,wheel-design-038,76.9,18.0,17.8,13.1,5.0,10.0,10.0,3.0,0.0,Descartada: 2 productos con algún campo técnico ausente,7,8,17/18/19/20/21,5x112,MB+L YBZ,audi,"mediana 899px, mínima 899px",2 productos con algún campo técnico ausente,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 2 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-074,74.7,13.6,14.0,13.1,10.0,10.0,10.0,4.0,0.0,Descartada: 12 imágenes por debajo de 800x800,7,12,18/19/20,5x112 5x120,B MB,bmw,"mediana 678px, mínima 678px",12 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 12 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
2,wheel-design-041,72.4,17.8,14.5,13.1,5.0,10.0,10.0,2.0,0.0,"Seleccionada: 7 medidas (18/19/20""), PCD 5x112, acabados MB, MBI, MIB, imagen mediana 890px, ficha técnica completa en los 13 productos.",7,13,18/19/20,5x112,MB MBI MIB,mercedes-benz,"mediana 890px, mínima 890px",ninguno de calidad,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 12 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,SELECCIONADA — NO PUBLICADA (precio y transporte bloqueantes a nivel de tienda)
3,wheel-design-043,71.8,17.8,14.0,15,5.0,10.0,10.0,0.0,0.0,"Seleccionada: 8 medidas (18/19/20/21""), PCD 5x112, acabados MB, imagen mediana 888px, ficha técnica completa en los 8 productos.",8,8,18/19/20/21,5x112,MB,mercedes-benz,"mediana 888px, mínima 888px",ninguno de calidad,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 8 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,SELECCIONADA — NO PUBLICADA (precio y transporte bloqueantes a nivel de tienda)
,wheel-design-047,70.2,18.3,20.0,1.9,10.0,10.0,10.0,0.0,0.0,Descartada: solo 1 medidas distintas,1,2,20,5x112 5x120,MB,bmw,"mediana 916px, mínima 916px",solo 1 medidas distintas,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 0 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
4,wheel-design-048,69.4,17.9,14.0,7.5,10.0,10.0,10.0,0.0,0.0,"Seleccionada: 4 medidas (19/20""), PCD 5x112, 5x120, acabados MB, imagen mediana 897px, ficha técnica completa en los 7 productos.",4,7,19/20,5x112 5x120,MB,bmw,"mediana 897px, mínima 897px",ninguno de calidad,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 7 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,SELECCIONADA — NO PUBLICADA (precio y transporte bloqueantes a nivel de tienda)
5,wheel-design-049,69.0,17.5,14.0,7.5,10.0,10.0,10.0,0.0,0.0,"Seleccionada: 4 medidas (20/21""), PCD 5x112, 5x120, acabados MB, imagen mediana 873px, ficha técnica completa en los 7 productos.",4,7,20/21,5x112 5x120,MB,bmw,"mediana 873px, mínima 873px",ninguno de calidad,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 7 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,SELECCIONADA — NO PUBLICADA (precio y transporte bloqueantes a nivel de tienda)
,wheel-design-039,67.6,17.8,20.0,3.8,5.0,10.0,10.0,1.0,0.0,Descartada: solo 2 medidas distintas,2,2,20/23,5x112,B MB,audi,"mediana 890px, mínima 890px",solo 2 medidas distintas,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 0 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-030,67.0,3.8,20.0,11.2,10.0,10.0,10.0,2.0,0.0,Descartada: 16 imágenes por debajo de 800x800,6,16,19/20/22,5x112 5x120,B MB MB+B,bmw,"mediana 188px, mínima 188px",16 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 0 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
