familia,sku,medida,peso_neto_por_llanta_kg,peso_del_juego_kg,numero_de_cajas,peso_bruto_por_caja_kg,dimensiones_por_caja_cm,estimacion_interna_kg,origen_de_la_estimacion,campo_peso_de_la_variante_en_shopify
SJW-038,OYL260416094,17x7.5 5x112 ET35,PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),40.0,"Calculada por SJ Wheels a partir del diámetro (36 kg a 16"" y +4 kg por pulgada). No es medición, no es peso embalado y no debe usarse para cotizar transporte.",40.0 kg (sin tocar; es el que usaría una tarifa por peso)
SJW-038,OYL260416096,18x8.0 5x112 ET35,PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),44.0,"Calculada por SJ Wheels a partir del diámetro (36 kg a 16"" y +4 kg por pulgada). No es medición, no es peso embalado y no debe usarse para cotizar transporte.",44.0 kg (sin tocar; es el que usaría una tarifa por peso)
SJW-038,OYL260416097,18x8.0 5x112 ET35,PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),44.0,"Calculada por SJ Wheels a partir del diámetro (36 kg a 16"" y +4 kg por pulgada). No es medición, no es peso embalado y no debe usarse para cotizar transporte.",44.0 kg (sin tocar; es el que usaría una tarifa por peso)
SJW-038,OYL260416099,19x8.5 5x112 ET30,PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),48.0,"Calculada por SJ Wheels a partir del diámetro (36 kg a 16"" y +4 kg por pulgada). No es medición, no es peso embalado y no debe usarse para cotizar transporte.",48.0 kg (sin tocar; es el que usaría una tarifa por peso)
SJW-038,OYL260416100,20x9.0 5x112 ET30,PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),52.0,"Calculada por SJ Wheels a partir del diámetro (36 kg a 16"" y +4 kg por pulgada). No es medición, no es peso embalado y no debe usarse para cotizar transporte.",52.0 kg (sin tocar; es el que usaría una tarifa por peso)
SJW-038,OYL260416101,21x9.0 5x112 ET25,PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),56.0,"Calculada por SJ Wheels a partir del diámetro (36 kg a 16"" y +4 kg por pulgada). No es medición, no es peso embalado y no debe usarse para cotizar transporte.",56.0 kg (sin tocar; es el que usaría una tarifa por peso)
SJW-040,OYL260416104,18x8.0 5x112 ET36,PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),44.0,"Calculada por SJ Wheels a partir del diámetro (36 kg a 16"" y +4 kg por pulgada). No es medición, no es peso embalado y no debe usarse para cotizar transporte.",44.0 kg (sin tocar; es el que usaría una tarifa por peso)
SJW-040,OYL260416106,18x8.0 5x112 ET36,PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),44.0,"Calculada por SJ Wheels a partir del diámetro (36 kg a 16"" y +4 kg por pulgada). No es medición, no es peso embalado y no debe usarse para cotizar transporte.",44.0 kg (sin tocar; es el que usaría una tarifa por peso)
SJW-040,OYL260416105,18x9.0 5x112 ET42,PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),44.0,"Calculada por SJ Wheels a partir del diámetro (36 kg a 16"" y +4 kg por pulgada). No es medición, no es peso embalado y no debe usarse para cotizar transporte.",44.0 kg (sin tocar; es el que usaría una tarifa por peso)
SJW-040,OYL260416107,18x9.0 5x112 ET42,PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),44.0,"Calculada por SJ Wheels a partir del diámetro (36 kg a 16"" y +4 kg por pulgada). No es medición, no es peso embalado y no debe usarse para cotizar transporte.",44.0 kg (sin tocar; es el que usaría una tarifa por peso)
SJW-040,OYL260416109,19x9.5 5x112 ET43,PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),48.0,"Calculada por SJ Wheels a partir del diámetro (36 kg a 16"" y +4 kg por pulgada). No es medición, no es peso embalado y no debe usarse para cotizar transporte.",48.0 kg (sin tocar; es el que usaría una tarifa por peso)
SJW-040,OYL260416108,19x9.5 5x112 ET43,PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),48.0,"Calculada por SJ Wheels a partir del diámetro (36 kg a 16"" y +4 kg por pulgada). No es medición, no es peso embalado y no debe usarse para cotizar transporte.",48.0 kg (sin tocar; es el que usaría una tarifa por peso)
