familia,sku,titulo,handle,diametro,anchura,pcd,et,buje_mm,acabado_codigo_proveedor,pvp_actual_eur,peso_estimado_juego_kg,texto_alternativo_imagen,etiquetas,estado
SJW-038,OYL260416094,"SJW-038 – 17x7.5"" | 5x112 | Acabado MB+L",sjw-038-17x7-5-5x112-et35-mb-l,17,7.5,5x112,35,66.45,MB+L,699.00,40.0,"Llanta de aleación SJW-038, medida 17x7.5 pulgadas, anclaje 5x112",llantas|llantas-17|5x112|et-35|acabado-mb-l|diseno-sjw-038|juego-de-4,BORRADOR (no activado)
SJW-038,OYL260416096,"SJW-038 – 18x8.0"" | 5x112 | Acabado MB+L",sjw-038-18x8-0-5x112-et35-mb-l,18,8.0,5x112,35,66.45,MB+L,799.00,44.0,"Llanta de aleación SJW-038, medida 18x8.0 pulgadas, anclaje 5x112",llantas|llantas-18|5x112|et-35|acabado-mb-l|diseno-sjw-038|juego-de-4,BORRADOR (no activado)
SJW-038,OYL260416097,"SJW-038 – 18x8.0"" | 5x112 | Acabado YBZ",sjw-038-18x8-0-5x112-et35-ybz,18,8.0,5x112,35,66.45,YBZ,799.00,44.0,"Llanta de aleación SJW-038, medida 18x8.0 pulgadas, anclaje 5x112",llantas|llantas-18|5x112|et-35|acabado-ybz|diseno-sjw-038|juego-de-4,BORRADOR (no activado)
SJW-038,OYL260416099,"SJW-038 – 19x8.5"" | 5x112 | Acabado MB+L",sjw-038-19x8-5-5x112-et30-mb-l,19,8.5,5x112,30,66.45,MB+L,899.00,48.0,"Llanta de aleación SJW-038, medida 19x8.5 pulgadas, anclaje 5x112",llantas|llantas-19|5x112|et-30|acabado-mb-l|diseno-sjw-038|juego-de-4,BORRADOR (no activado)
SJW-038,OYL260416100,"SJW-038 – 20x9.0"" | 5x112 | Acabado MB+L",sjw-038-20x9-0-5x112-et30-mb-l,20,9.0,5x112,30,66.45,MB+L,999.00,52.0,"Llanta de aleación SJW-038, medida 20x9.0 pulgadas, anclaje 5x112",llantas|llantas-20|5x112|et-30|acabado-mb-l|diseno-sjw-038|juego-de-4,BORRADOR (no activado)
SJW-038,OYL260416101,"SJW-038 – 21x9.0"" | 5x112 | Acabado MB+L",sjw-038-21x9-0-5x112-et25-mb-l,21,9.0,5x112,25,66.5,MB+L,1099.00,56.0,"Llanta de aleación SJW-038, medida 21x9.0 pulgadas, anclaje 5x112",llantas|llantas-21|5x112|et-25|acabado-mb-l|diseno-sjw-038|juego-de-4,BORRADOR (no activado)
SJW-040,OYL260416104,"SJW-040 – 18x8.0"" | 5x112 | Acabado MB",sjw-040-18x8-0-5x112-et36-mb,18,8.0,5x112,36,66.5,MB,799.00,44.0,"Llanta de aleación SJW-040, medida 18x8.0 pulgadas, anclaje 5x112",llantas|llantas-18|5x112|et-36|acabado-mb|diseno-sjw-040|juego-de-4,BORRADOR (no activado)
SJW-040,OYL260416106,"SJW-040 – 18x8.0"" | 5x112 | Acabado MG",sjw-040-18x8-0-5x112-et36-mg,18,8.0,5x112,36,66.5,MG,799.00,44.0,"Llanta de aleación SJW-040, medida 18x8.0 pulgadas, anclaje 5x112",llantas|llantas-18|5x112|et-36|acabado-mg|diseno-sjw-040|juego-de-4,BORRADOR (no activado)
SJW-040,OYL260416105,"SJW-040 – 18x9.0"" | 5x112 | Acabado MB",sjw-040-18x9-0-5x112-et42-mb,18,9.0,5x112,42,66.5,MB,799.00,44.0,"Llanta de aleación SJW-040, medida 18x9.0 pulgadas, anclaje 5x112",llantas|llantas-18|5x112|et-42|acabado-mb|diseno-sjw-040|juego-de-4,BORRADOR (no activado)
SJW-040,OYL260416107,"SJW-040 – 18x9.0"" | 5x112 | Acabado MG",sjw-040-18x9-0-5x112-et42-mg,18,9.0,5x112,42,66.5,MG,799.00,44.0,"Llanta de aleación SJW-040, medida 18x9.0 pulgadas, anclaje 5x112",llantas|llantas-18|5x112|et-42|acabado-mg|diseno-sjw-040|juego-de-4,BORRADOR (no activado)
SJW-040,OYL260416109,"SJW-040 – 19x9.5"" | 5x112 | Acabado MB",sjw-040-19x9-5-5x112-et43-mb,19,9.5,5x112,43,66.5,MB,899.00,48.0,"Llanta de aleación SJW-040, medida 19x9.5 pulgadas, anclaje 5x112",llantas|llantas-19|5x112|et-43|acabado-mb|diseno-sjw-040|juego-de-4,BORRADOR (no activado)
SJW-040,OYL260416108,"SJW-040 – 19x9.5"" | 5x112 | Acabado MG",sjw-040-19x9-5-5x112-et43-mg,19,9.5,5x112,43,66.5,MG,899.00,48.0,"Llanta de aleación SJW-040, medida 19x9.5 pulgadas, anclaje 5x112",llantas|llantas-19|5x112|et-43|acabado-mg|diseno-sjw-040|juego-de-4,BORRADOR (no activado)
SJW-040,OYL260416111,"SJW-040 – 20x8.5"" | 5x112 | Acabado MB",sjw-040-20x8-5-5x112-et36-mb,20,8.5,5x112,36,66.5,MB,999.00,52.0,"Llanta de aleación SJW-040, medida 20x8.5 pulgadas, anclaje 5x112",llantas|llantas-20|5x112|et-36|acabado-mb|diseno-sjw-040|juego-de-4,BORRADOR (no activado)
SJW-040,OYL260416110,"SJW-040 – 20x8.5"" | 5x112 | Acabado MG",sjw-040-20x8-5-5x112-et36-mg,20,8.5,5x112,36,66.5,MG,999.00,52.0,"Llanta de aleación SJW-040, medida 20x8.5 pulgadas, anclaje 5x112",llantas|llantas-20|5x112|et-36|acabado-mg|diseno-sjw-040|juego-de-4,BORRADOR (no activado)
SJW-040,OYL260416112,"SJW-040 – 20x9.5"" | 5x112 | Acabado MB",sjw-040-20x9-5-5x112-et43-mb,20,9.5,5x112,43,66.5,MB,999.00,52.0,"Llanta de aleación SJW-040, medida 20x9.5 pulgadas, anclaje 5x112",llantas|llantas-20|5x112|et-43|acabado-mb|diseno-sjw-040|juego-de-4,BORRADOR (no activado)
SJW-041,OYL260416115,"SJW-041 – 18x8.0"" | 5x112 | Acabado MB",sjw-041-18x8-0-5x112-et40-mb,18,8.0,5x112,40,66.5,MB,799.00,44.0,"Llanta de aleación SJW-041, medida 18x8.0 pulgadas, anclaje 5x112",llantas|llantas-18|5x112|et-40|acabado-mb|diseno-sjw-041|juego-de-4,BORRADOR (no activado)
SJW-041,OYL260416113,"SJW-041 – 18x8.0"" | 5x112 | Acabado MBI",sjw-041-18x8-0-5x112-et40-mbi,18,8.0,5x112,40,66.5,MBI,799.00,44.0,"Llanta de aleación SJW-041, medida 18x8.0 pulgadas, anclaje 5x112",llantas|llantas-18|5x112|et-40|acabado-mbi|diseno-sjw-041|juego-de-4,BORRADOR (no activado)
SJW-041,OYL260416117,"SJW-041 – 18x8.0"" | 5x112 | Acabado MBI",sjw-041-18x8-0-5x112-et35-mbi,18,8.0,5x112,35,66.6,MBI,799.00,44.0,"Llanta de aleación SJW-041, medida 18x8.0 pulgadas, anclaje 5x112",llantas|llantas-18|5x112|et-35|acabado-mbi|diseno-sjw-041|juego-de-4,BORRADOR (no activado)
SJW-041,OYL260416116,"SJW-041 – 18x9.0"" | 5x112 | Acabado MB",sjw-041-18x9-0-5x112-et45-mb,18,9.0,5x112,45,66.5,MB,799.00,44.0,"Llanta de aleación SJW-041, medida 18x9.0 pulgadas, anclaje 5x112",llantas|llantas-18|5x112|et-45|acabado-mb|diseno-sjw-041|juego-de-4,BORRADOR (no activado)
SJW-041,OYL260416114,"SJW-041 – 18x9.0"" | 5x112 | Acabado MBI",sjw-041-18x9-0-5x112-et45-mbi,18,9.0,5x112,45,66.5,MBI,799.00,44.0,"Llanta de aleación SJW-041, medida 18x9.0 pulgadas, anclaje 5x112",llantas|llantas-18|5x112|et-45|acabado-mbi|diseno-sjw-041|juego-de-4,BORRADOR (no activado)
SJW-041,OYL260416120,"SJW-041 – 19x8.0"" | 5x112 | Acabado MB",sjw-041-19x8-0-5x112-et36-mb,19,8.0,5x112,36,66.5,MB,899.00,48.0,"Llanta de aleación SJW-041, medida 19x8.0 pulgadas, anclaje 5x112",llantas|llantas-19|5x112|et-36|acabado-mb|diseno-sjw-041|juego-de-4,BORRADOR (no activado)
SJW-041,OYL260416118,"SJW-041 – 19x8.0"" | 5x112 | Acabado MBI",sjw-041-19x8-0-5x112-et36-mbi,19,8.0,5x112,36,66.5,MBI,899.00,48.0,"Llanta de aleación SJW-041, medida 19x8.0 pulgadas, anclaje 5x112",llantas|llantas-19|5x112|et-36|acabado-mbi|diseno-sjw-041|juego-de-4,BORRADOR (no activado)
SJW-041,OYL260416121,"SJW-041 – 19x9.0"" | 5x112 | Acabado MB",sjw-041-19x9-0-5x112-et42-mb,19,9.0,5x112,42,66.5,MB,899.00,48.0,"Llanta de aleación SJW-041, medida 19x9.0 pulgadas, anclaje 5x112",llantas|llantas-19|5x112|et-42|acabado-mb|diseno-sjw-041|juego-de-4,BORRADOR (no activado)
SJW-041,OYL260416119,"SJW-041 – 19x9.0"" | 5x112 | Acabado MBI",sjw-041-19x9-0-5x112-et42-mbi,19,9.0,5x112,42,66.5,MBI,899.00,48.0,"Llanta de aleación SJW-041, medida 19x9.0 pulgadas, anclaje 5x112",llantas|llantas-19|5x112|et-42|acabado-mbi|diseno-sjw-041|juego-de-4,BORRADOR (no activado)
SJW-041,OYL260416122,"SJW-041 – 20x8.5"" | 5x112 | Acabado MB",sjw-041-20x8-5-5x112-et36-mb,20,8.5,5x112,36,66.5,MB,999.00,52.0,"Llanta de aleación SJW-041, medida 20x8.5 pulgadas, anclaje 5x112",llantas|llantas-20|5x112|et-36|acabado-mb|diseno-sjw-041|juego-de-4,BORRADOR (no activado)
SJW-041,OYL260416124,"SJW-041 – 20x8.5"" | 5x112 | Acabado MIB",sjw-041-20x8-5-5x112-et36-mib,20,8.5,5x112,36,66.5,MIB,999.00,52.0,"Llanta de aleación SJW-041, medida 20x8.5 pulgadas, anclaje 5x112",llantas|llantas-20|5x112|et-36|acabado-mib|diseno-sjw-041|juego-de-4,BORRADOR (no activado)
SJW-041,OYL260416123,"SJW-041 – 20x9.5"" | 5x112 | Acabado MB",sjw-041-20x9-5-5x112-et43-mb,20,9.5,5x112,43,66.5,MB,999.00,52.0,"Llanta de aleación SJW-041, medida 20x9.5 pulgadas, anclaje 5x112",llantas|llantas-20|5x112|et-43|acabado-mb|diseno-sjw-041|juego-de-4,BORRADOR (no activado)
SJW-041,OYL260416125,"SJW-041 – 20x9.5"" | 5x112 | Acabado MIB",sjw-041-20x9-5-5x112-et43-mib,20,9.5,5x112,43,66.5,MIB,999.00,52.0,"Llanta de aleación SJW-041, medida 20x9.5 pulgadas, anclaje 5x112",llantas|llantas-20|5x112|et-43|acabado-mib|diseno-sjw-041|juego-de-4,BORRADOR (no activado)
SJW-043,OYL260416127,"SJW-043 – 18x8.0"" | 5x112 | Acabado MB",sjw-043-18x8-0-5x112-et36-mb,18,8.0,5x112,36,66.5,MB,799.00,44.0,"Llanta de aleación SJW-043, medida 18x8.0 pulgadas, anclaje 5x112",llantas|llantas-18|5x112|et-36|acabado-mb|diseno-sjw-043|juego-de-4,BORRADOR (no activado)
