posicion_familia,familia,id,sku,handle,titulo,medida,et,pcd,buje,acabado,precio_actual,peso_actual_kg,estado_actual,canales_actuales,accion_simulada,motivo_exclusion
1,wheel-design-044,10898629493069,OYL260416135,oyl260416135-19-mercedes-benz,Juego de 4 llantas 19 pulgadas Mercedes-Benz – OYL260416135,19x8.5,36,5x112,66.5,MB,899.00,48.0,DRAFT,ninguno,se activaría y publicaría en Tienda online,
1,wheel-design-044,10898629558605,OYL260416136,oyl260416136-19-mercedes-benz,Juego de 4 llantas 19 pulgadas Mercedes-Benz – OYL260416136,19x9.5,43,5x112,66.5,MB,899.00,48.0,DRAFT,ninguno,se activaría y publicaría en Tienda online,
1,wheel-design-044,10898629624141,OYL260416137,oyl260416137-20-mercedes-benz,Juego de 4 llantas 20 pulgadas Mercedes-Benz – OYL260416137,20x8.5,36,5x112,66.5,MB,999.00,52.0,DRAFT,ninguno,se activaría y publicaría en Tienda online,
1,wheel-design-044,10898629656909,OYL260416138,oyl260416138-20-mercedes-benz,Juego de 4 llantas 20 pulgadas Mercedes-Benz – OYL260416138,20x9.5,45,5x112,66.5,MB,999.00,52.0,DRAFT,ninguno,se activaría y publicaría en Tienda online,
1,wheel-design-044,10898629755213,OYL260416139,oyl260416139-20-mercedes-benz,Juego de 4 llantas 20 pulgadas Mercedes-Benz – OYL260416139,20x8.5,36,5x112,66.5,MB,999.00,52.0,DRAFT,ninguno,EXCLUIDO,"duplicado exacto de OYL260416137 (misma medida, ET, PCD, buje y acabado)"
1,wheel-design-044,10898629787981,OYL260416140,oyl260416140-20-mercedes-benz,Juego de 4 llantas 20 pulgadas Mercedes-Benz – OYL260416140,20x9.5,45,5x112,66.5,MB,999.00,52.0,DRAFT,ninguno,EXCLUIDO,"duplicado exacto de OYL260416138 (misma medida, ET, PCD, buje y acabado)"
1,wheel-design-044,10898629853517,OYL260416141,oyl260416141-21-mercedes-benz,Juego de 4 llantas 21 pulgadas Mercedes-Benz – OYL260416141,21x10.0,45,5x112,66.5,MB,1099.00,56.0,DRAFT,ninguno,se activaría y publicaría en Tienda online,
1,wheel-design-044,10898629919053,OYL260416142,oyl260416142-21-mercedes-benz,Juego de 4 llantas 21 pulgadas Mercedes-Benz – OYL260416142,21x11.0,42,5x112,66.5,MB,1099.00,56.0,DRAFT,ninguno,se activaría y publicaría en Tienda online,
1,wheel-design-044,10898629984589,OYL260416143,oyl260416143-22-mercedes-benz,Juego de 4 llantas 22 pulgadas Mercedes-Benz – OYL260416143,22x9.5,45,5x112,66.5,MB,1249.00,60.0,DRAFT,ninguno,se activaría y publicaría en Tienda online,
1,wheel-design-044,10898630017357,OYL260416144,oyl260416144-22-mercedes-benz,Juego de 4 llantas 22 pulgadas Mercedes-Benz – OYL260416144,22x11.5,47,5x112,66.5,MB,1249.00,60.0,DRAFT,ninguno,se activaría y publicaría en Tienda online,
1,wheel-design-044,10898630050125,OYL260416145,oyl260416145-22-mercedes-benz,Juego de 4 llantas 22 pulgadas Mercedes-Benz – OYL260416145,22x9.5,45,5x112,66.5,MG,1249.00,60.0,DRAFT,ninguno,se activaría y publicaría en Tienda online,
2,wheel-design-041,10898628313421,OYL260416113,oyl260416113-18-mercedes-benz,Juego de 4 llantas 18 pulgadas Mercedes-Benz – OYL260416113,18x8.0,40,5x112,66.5,MBI,799.00,44.0,DRAFT,ninguno,se activaría y publicaría en Tienda online,
2,wheel-design-041,10898628346189,OYL260416114,oyl260416114-18-mercedes-benz,Juego de 4 llantas 18 pulgadas Mercedes-Benz – OYL260416114,18x9.0,45,5x112,66.5,MBI,799.00,44.0,DRAFT,ninguno,se activaría y publicaría en Tienda online,
2,wheel-design-041,10898628411725,OYL260416115,oyl260416115-18-mercedes-benz,Juego de 4 llantas 18 pulgadas Mercedes-Benz – OYL260416115,18x8.0,40,5x112,66.5,MB,799.00,44.0,DRAFT,ninguno,se activaría y publicaría en Tienda online,
2,wheel-design-041,10898628477261,OYL260416116,oyl260416116-18-mercedes-benz,Juego de 4 llantas 18 pulgadas Mercedes-Benz – OYL260416116,18x9.0,45,5x112,66.5,MB,799.00,44.0,DRAFT,ninguno,se activaría y publicaría en Tienda online,
2,wheel-design-041,10898628510029,OYL260416117,oyl260416117-18-vehiculos-europeos,Juego de 4 llantas 18 pulgadas Vehículos europeos – OYL260416117,18x8.0,35,5x112,66.6,MBI,799.00,44.0,DRAFT,ninguno,se activaría y publicaría en Tienda online,
2,wheel-design-041,10898628575565,OYL260416118,oyl260416118-19-mercedes-benz,Juego de 4 llantas 19 pulgadas Mercedes-Benz – OYL260416118,19x8.0,36,5x112,66.5,MBI,899.00,48.0,DRAFT,ninguno,se activaría y publicaría en Tienda online,
2,wheel-design-041,10898628608333,OYL260416119,oyl260416119-19-mercedes-benz,Juego de 4 llantas 19 pulgadas Mercedes-Benz – OYL260416119,19x9.0,42,5x112,66.5,MBI,899.00,48.0,DRAFT,ninguno,se activaría y publicaría en Tienda online,
2,wheel-design-041,10898628673869,OYL260416120,oyl260416120-19-mercedes-benz,Juego de 4 llantas 19 pulgadas Mercedes-Benz – OYL260416120,19x8.0,36,5x112,66.5,MB,899.00,48.0,DRAFT,ninguno,se activaría y publicaría en Tienda online,
2,wheel-design-041,10898628739405,OYL260416121,oyl260416121-19-mercedes-benz,Juego de 4 llantas 19 pulgadas Mercedes-Benz – OYL260416121,19x9.0,42,5x112,66.5,MB,899.00,48.0,DRAFT,ninguno,se activaría y publicaría en Tienda online,
2,wheel-design-041,10898628772173,OYL260416122,oyl260416122-20-mercedes-benz,Juego de 4 llantas 20 pulgadas Mercedes-Benz – OYL260416122,20x8.5,36,5x112,66.5,MB,999.00,52.0,DRAFT,ninguno,se activaría y publicaría en Tienda online,
2,wheel-design-041,10898628837709,OYL260416123,oyl260416123-20-mercedes-benz,Juego de 4 llantas 20 pulgadas Mercedes-Benz – OYL260416123,20x9.5,43,5x112,66.5,MB,999.00,52.0,DRAFT,ninguno,se activaría y publicaría en Tienda online,
2,wheel-design-041,10898628903245,OYL260416124,oyl260416124-20-mercedes-benz,Juego de 4 llantas 20 pulgadas Mercedes-Benz – OYL260416124,20x8.5,36,5x112,66.5,MIB,999.00,52.0,DRAFT,ninguno,se activaría y publicaría en Tienda online,
2,wheel-design-041,10898628968781,OYL260416125,oyl260416125-20-mercedes-benz,Juego de 4 llantas 20 pulgadas Mercedes-Benz – OYL260416125,20x9.5,43,5x112,66.5,MIB,999.00,52.0,DRAFT,ninguno,se activaría y publicaría en Tienda online,
3,wheel-design-043,10898629099853,OYL260416127,oyl260416127-18-mercedes-benz,Juego de 4 llantas 18 pulgadas Mercedes-Benz – OYL260416127,18x8.0,36,5x112,66.5,MB,799.00,44.0,DRAFT,ninguno,se activaría y publicaría en Tienda online,
3,wheel-design-043,10898629132621,OYL260416128,oyl260416128-18-mercedes-benz,Juego de 4 llantas 18 pulgadas Mercedes-Benz – OYL260416128,18x9.0,42,5x112,66.5,MB,799.00,44.0,DRAFT,ninguno,se activaría y publicaría en Tienda online,
3,wheel-design-043,10898629198157,OYL260416129,oyl260416129-19-mercedes-benz,Juego de 4 llantas 19 pulgadas Mercedes-Benz – OYL260416129,19x8.5,36,5x112,66.5,MB,899.00,48.0,DRAFT,ninguno,se activaría y publicaría en Tienda online,
3,wheel-design-043,10898629230925,OYL260416130,oyl260416130-19-mercedes-benz,Juego de 4 llantas 19 pulgadas Mercedes-Benz – OYL260416130,19x9.5,43,5x112,66.5,MB,899.00,48.0,DRAFT,ninguno,se activaría y publicaría en Tienda online,
3,wheel-design-043,10898629296461,OYL260416131,oyl260416131-20-mercedes-benz,Juego de 4 llantas 20 pulgadas Mercedes-Benz – OYL260416131,20x8.5,36,5x112,66.5,MB,999.00,52.0,DRAFT,ninguno,se activaría y publicaría en Tienda online,
3,wheel-design-043,10898629361997,OYL260416132,oyl260416132-20-mercedes-benz,Juego de 4 llantas 20 pulgadas Mercedes-Benz – OYL260416132,20x9.5,43,5x112,66.5,MB,999.00,52.0,DRAFT,ninguno,se activaría y publicaría en Tienda online,
3,wheel-design-043,10898629394765,OYL260416133,oyl260416133-21-mercedes-benz,Juego de 4 llantas 21 pulgadas Mercedes-Benz – OYL260416133,21x9.0,34,5x112,66.5,MB,1099.00,56.0,DRAFT,ninguno,se activaría y publicaría en Tienda online,
3,wheel-design-043,10898629460301,OYL260416134,oyl260416134-21-mercedes-benz,Juego de 4 llantas 21 pulgadas Mercedes-Benz – OYL260416134,21x10.0,48,5x112,66.5,MB,1099.00,56.0,DRAFT,ninguno,se activaría y publicaría en Tienda online,
4,wheel-design-048,10898630803789,OYL260416157,oyl260416157-19-bmw,Juego de 4 llantas 19 pulgadas BMW – OYL260416157,19x8.5,30,5x112,66.5,MB,899.00,48.0,DRAFT,ninguno,se activaría y publicaría en Tienda online,
4,wheel-design-048,10898630869325,OYL260416158,oyl260416158-19-bmw,Juego de 4 llantas 19 pulgadas BMW – OYL260416158,19x9.5,35,5x112,66.5,MB,899.00,48.0,DRAFT,ninguno,se activaría y publicaría en Tienda online,
4,wheel-design-048,10898630902093,OYL260416159,oyl260416159-19-bmw,Juego de 4 llantas 19 pulgadas BMW – OYL260416159,19x8.5,30,5x120,72.6,MB,899.00,48.0,DRAFT,ninguno,se activaría y publicaría en Tienda online,
4,wheel-design-048,10898630967629,OYL260416160,oyl260416160-19-bmw,Juego de 4 llantas 19 pulgadas BMW – OYL260416160,19x9.5,35,5x120,72.6,MB,899.00,48.0,DRAFT,ninguno,se activaría y publicaría en Tienda online,
4,wheel-design-048,10898631000397,OYL260416161,oyl260416161-20-bmw,Juego de 4 llantas 20 pulgadas BMW – OYL260416161,20x8.5,25,5x112,66.5,MB,999.00,52.0,DRAFT,ninguno,se activaría y publicaría en Tienda online,
4,wheel-design-048,10898631065933,OYL260416162,oyl260416162-20-bmw,Juego de 4 llantas 20 pulgadas BMW – OYL260416162,20x8.5,25,5x120,72.6,MB,999.00,52.0,DRAFT,ninguno,se activaría y publicaría en Tienda online,
4,wheel-design-048,10898631131469,OYL260416163,oyl260416163-20-bmw,Juego de 4 llantas 20 pulgadas BMW – OYL260416163,20x9.5,35,5x120,72.6,MB,999.00,52.0,DRAFT,ninguno,se activaría y publicaría en Tienda online,
5,wheel-design-049,10898631164237,OYL260416164,oyl260416164-20-bmw,Juego de 4 llantas 20 pulgadas BMW – OYL260416164,20x9.5,40,5x112,66.5,MB,999.00,52.0,DRAFT,ninguno,se activaría y publicaría en Tienda online,
5,wheel-design-049,10898631229773,OYL260416165,oyl260416165-20-bmw,Juego de 4 llantas 20 pulgadas BMW – OYL260416165,20x8.5,25,5x120,72.6,MB,999.00,52.0,DRAFT,ninguno,se activaría y publicaría en Tienda online,
5,wheel-design-049,10898631295309,OYL260416166,oyl260416166-20-bmw,Juego de 4 llantas 20 pulgadas BMW – OYL260416166,20x9.5,40,5x120,72.6,MB,999.00,52.0,DRAFT,ninguno,se activaría y publicaría en Tienda online,
5,wheel-design-049,10898631328077,OYL260416167,oyl260416167-21-bmw,Juego de 4 llantas 21 pulgadas BMW – OYL260416167,21x9.0,24,5x112,66.5,MB,1099.00,56.0,DRAFT,ninguno,se activaría y publicaría en Tienda online,
5,wheel-design-049,10898631426381,OYL260416168,oyl260416168-21-bmw,Juego de 4 llantas 21 pulgadas BMW – OYL260416168,21x10.5,44,5x112,66.5,MB,1099.00,56.0,DRAFT,ninguno,se activaría y publicaría en Tienda online,
5,wheel-design-049,10898631459149,OYL260416169,oyl260416169-21-bmw,Juego de 4 llantas 21 pulgadas BMW – OYL260416169,21x9.0,24,5x120,72.6,MB,1099.00,56.0,DRAFT,ninguno,se activaría y publicaría en Tienda online,
5,wheel-design-049,10898631524685,OYL260416170,oyl260416170-21-bmw,Juego de 4 llantas 21 pulgadas BMW – OYL260416170,21x10.5,44,5x120,72.6,MB,1099.00,56.0,DRAFT,ninguno,se activaría y publicaría en Tienda online,
6,wheel-design-040,10898627821901,OYL260416104,oyl260416104-18-mercedes-benz,Juego de 4 llantas 18 pulgadas Mercedes-Benz – OYL260416104,18x8.0,36,5x112,66.5,MB,799.00,44.0,DRAFT,ninguno,se activaría y publicaría en Tienda online,
6,wheel-design-040,10898627854669,OYL260416105,oyl260416105-18-mercedes-benz,Juego de 4 llantas 18 pulgadas Mercedes-Benz – OYL260416105,18x9.0,42,5x112,66.5,MB,799.00,44.0,DRAFT,ninguno,se activaría y publicaría en Tienda online,
6,wheel-design-040,10898627887437,OYL260416106,oyl260416106-18-mercedes-benz,Juego de 4 llantas 18 pulgadas Mercedes-Benz – OYL260416106,18x8.0,36,5x112,66.5,MG,799.00,44.0,DRAFT,ninguno,se activaría y publicaría en Tienda online,
6,wheel-design-040,10898627952973,OYL260416107,oyl260416107-18-mercedes-benz,Juego de 4 llantas 18 pulgadas Mercedes-Benz – OYL260416107,18x9.0,42,5x112,66.5,MG,799.00,44.0,DRAFT,ninguno,se activaría y publicaría en Tienda online,
6,wheel-design-040,10898628018509,OYL260416108,oyl260416108-19-mercedes-benz,Juego de 4 llantas 19 pulgadas Mercedes-Benz – OYL260416108,19x9.5,43,5x112,66.5,MG,899.00,48.0,DRAFT,ninguno,se activaría y publicaría en Tienda online,
6,wheel-design-040,10898628051277,OYL260416109,oyl260416109-19-mercedes-benz,Juego de 4 llantas 19 pulgadas Mercedes-Benz – OYL260416109,19x9.5,43,5x112,66.5,MB,899.00,48.0,DRAFT,ninguno,se activaría y publicaría en Tienda online,
6,wheel-design-040,10898628116813,OYL260416110,oyl260416110-20-mercedes-benz,Juego de 4 llantas 20 pulgadas Mercedes-Benz – OYL260416110,20x8.5,36,5x112,66.5,MG,999.00,52.0,DRAFT,ninguno,se activaría y publicaría en Tienda online,
6,wheel-design-040,10898628215117,OYL260416111,oyl260416111-20-mercedes-benz,Juego de 4 llantas 20 pulgadas Mercedes-Benz – OYL260416111,20x8.5,36,5x112,66.5,MB,999.00,52.0,DRAFT,ninguno,se activaría y publicaría en Tienda online,
6,wheel-design-040,10898628247885,OYL260416112,oyl260416112-20-mercedes-benz,Juego de 4 llantas 20 pulgadas Mercedes-Benz – OYL260416112,20x9.5,43,5x112,66.5,MB,999.00,52.0,DRAFT,ninguno,se activaría y publicaría en Tienda online,
