supplier_ref,our_design_code,diameter_in,width_in,bolt_pattern,offset_et_mm,centre_bore_mm,supplier_finish_code,unit_price,price_per_set_of_4,currency,incoterm,price_valid_until,moq,lead_time_days_production,transit_time_days,net_weight_per_wheel_kg,boxes_per_set,gross_weight_per_box_kg,box_dimensions_cm,finish_name,accessories_included,test_reports_available,high_res_photos_available,notes
OYL260416094,SJW-038,17,7.5,5x112,35,66.45,MB+L,,,,,,,,,,,,,,,,,
OYL260416096,SJW-038,18,8.0,5x112,35,66.45,MB+L,,,,,,,,,,,,,,,,,
OYL260416097,SJW-038,18,8.0,5x112,35,66.45,YBZ,,,,,,,,,,,,,,,,,
OYL260416099,SJW-038,19,8.5,5x112,30,66.45,MB+L,,,,,,,,,,,,,,,,,
OYL260416100,SJW-038,20,9.0,5x112,30,66.45,MB+L,,,,,,,,,,,,,,,,,
OYL260416101,SJW-038,21,9.0,5x112,25,66.5,MB+L,,,,,,,,,,,,,,,,,
OYL260416104,SJW-040,18,8.0,5x112,36,66.5,MB,,,,,,,,,,,,,,,,,
OYL260416106,SJW-040,18,8.0,5x112,36,66.5,MG,,,,,,,,,,,,,,,,,
OYL260416105,SJW-040,18,9.0,5x112,42,66.5,MB,,,,,,,,,,,,,,,,,
OYL260416107,SJW-040,18,9.0,5x112,42,66.5,MG,,,,,,,,,,,,,,,,,
OYL260416109,SJW-040,19,9.5,5x112,43,66.5,MB,,,,,,,,,,,,,,,,,
OYL260416108,SJW-040,19,9.5,5x112,43,66.5,MG,,,,,,,,,,,,,,,,,
OYL260416111,SJW-040,20,8.5,5x112,36,66.5,MB,,,,,,,,,,,,,,,,,
OYL260416110,SJW-040,20,8.5,5x112,36,66.5,MG,,,,,,,,,,,,,,,,,
OYL260416112,SJW-040,20,9.5,5x112,43,66.5,MB,,,,,,,,,,,,,,,,,
OYL260416115,SJW-041,18,8.0,5x112,40,66.5,MB,,,,,,,,,,,,,,,,,
OYL260416113,SJW-041,18,8.0,5x112,40,66.5,MBI,,,,,,,,,,,,,,,,,
OYL260416117,SJW-041,18,8.0,5x112,35,66.6,MBI,,,,,,,,,,,,,,,,,
OYL260416116,SJW-041,18,9.0,5x112,45,66.5,MB,,,,,,,,,,,,,,,,,
OYL260416114,SJW-041,18,9.0,5x112,45,66.5,MBI,,,,,,,,,,,,,,,,,
OYL260416120,SJW-041,19,8.0,5x112,36,66.5,MB,,,,,,,,,,,,,,,,,
OYL260416118,SJW-041,19,8.0,5x112,36,66.5,MBI,,,,,,,,,,,,,,,,,
OYL260416121,SJW-041,19,9.0,5x112,42,66.5,MB,,,,,,,,,,,,,,,,,
OYL260416119,SJW-041,19,9.0,5x112,42,66.5,MBI,,,,,,,,,,,,,,,,,
OYL260416122,SJW-041,20,8.5,5x112,36,66.5,MB,,,,,,,,,,,,,,,,,
OYL260416124,SJW-041,20,8.5,5x112,36,66.5,MIB,,,,,,,,,,,,,,,,,
OYL260416123,SJW-041,20,9.5,5x112,43,66.5,MB,,,,,,,,,,,,,,,,,
OYL260416125,SJW-041,20,9.5,5x112,43,66.5,MIB,,,,,,,,,,,,,,,,,
OYL260416127,SJW-043,18,8.0,5x112,36,66.5,MB,,,,,,,,,,,,,,,,,
OYL260416128,SJW-043,18,9.0,5x112,42,66.5,MB,,,,,,,,,,,,,,,,,
OYL260416129,SJW-043,19,8.5,5x112,36,66.5,MB,,,,,,,,,,,,,,,,,
OYL260416130,SJW-043,19,9.5,5x112,43,66.5,MB,,,,,,,,,,,,,,,,,
OYL260416131,SJW-043,20,8.5,5x112,36,66.5,MB,,,,,,,,,,,,,,,,,
OYL260416132,SJW-043,20,9.5,5x112,43,66.5,MB,,,,,,,,,,,,,,,,,
OYL260416133,SJW-043,21,9.0,5x112,34,66.5,MB,,,,,,,,,,,,,,,,,
OYL260416134,SJW-043,21,10.0,5x112,48,66.5,MB,,,,,,,,,,,,,,,,,
OYL260416135,SJW-044,19,8.5,5x112,36,66.5,MB,,,,,,,,,,,,,,,,,
OYL260416136,SJW-044,19,9.5,5x112,43,66.5,MB,,,,,,,,,,,,,,,,,
OYL260416137,SJW-044,20,8.5,5x112,36,66.5,MB,,,,,,,,,,,,,,,,,
OYL260416138,SJW-044,20,9.5,5x112,45,66.5,MB,,,,,,,,,,,,,,,,,
OYL260416141,SJW-044,21,10.0,5x112,45,66.5,MB,,,,,,,,,,,,,,,,,
OYL260416142,SJW-044,21,11.0,5x112,42,66.5,MB,,,,,,,,,,,,,,,,,
OYL260416143,SJW-044,22,9.5,5x112,45,66.5,MB,,,,,,,,,,,,,,,,,
OYL260416145,SJW-044,22,9.5,5x112,45,66.5,MG,,,,,,,,,,,,,,,,,
OYL260416144,SJW-044,22,11.5,5x112,47,66.5,MB,,,,,,,,,,,,,,,,,
OYL260416157,SJW-048,19,8.5,5x112,30,66.5,MB,,,,,,,,,,,,,,,,,
OYL260416159,SJW-048,19,8.5,5x120,30,72.6,MB,,,,,,,,,,,,,,,,,
OYL260416158,SJW-048,19,9.5,5x112,35,66.5,MB,,,,,,,,,,,,,,,,,
OYL260416160,SJW-048,19,9.5,5x120,35,72.6,MB,,,,,,,,,,,,,,,,,
OYL260416161,SJW-048,20,8.5,5x112,25,66.5,MB,,,,,,,,,,,,,,,,,
OYL260416162,SJW-048,20,8.5,5x120,25,72.6,MB,,,,,,,,,,,,,,,,,
OYL260416163,SJW-048,20,9.5,5x120,35,72.6,MB,,,,,,,,,,,,,,,,,
OYL260416165,SJW-049,20,8.5,5x120,25,72.6,MB,,,,,,,,,,,,,,,,,
OYL260416164,SJW-049,20,9.5,5x112,40,66.5,MB,,,,,,,,,,,,,,,,,
OYL260416166,SJW-049,20,9.5,5x120,40,72.6,MB,,,,,,,,,,,,,,,,,
OYL260416167,SJW-049,21,9.0,5x112,24,66.5,MB,,,,,,,,,,,,,,,,,
OYL260416169,SJW-049,21,9.0,5x120,24,72.6,MB,,,,,,,,,,,,,,,,,
OYL260416168,SJW-049,21,10.5,5x112,44,66.5,MB,,,,,,,,,,,,,,,,,
OYL260416170,SJW-049,21,10.5,5x120,44,72.6,MB,,,,,,,,,,,,,,,,,
OYL260416201,SJW-059,19,8.0,5x112,30,66.5,B,,,,,,,,,,,,,,,,,
OYL260416202,SJW-059,19,9.0,5x120,35,72.5,B,,,,,,,,,,,,,,,,,
OYL260416203,SJW-059,20,8.5,5x112,30,66.5,B,,,,,,,,,,,,,,,,,
OYL260416207,SJW-059,20,8.5,5x120,30,72.56,B,,,,,,,,,,,,,,,,,
OYL260416205,SJW-059,20,8.5,5x112,30,66.5,MB,,,,,,,,,,,,,,,,,
OYL260416204,SJW-059,20,9.5,5x112,35,66.5,B,,,,,,,,,,,,,,,,,
OYL260416208,SJW-059,20,9.5,5x120,35,72.56,B,,,,,,,,,,,,,,,,,
OYL260416206,SJW-059,20,9.5,5x112,35,66.5,MB,,,,,,,,,,,,,,,,,
OYL260416285,SJW-074,18,8.5,5x112,30,66.56,B,,,,,,,,,,,,,,,,,
OYL260416284,SJW-074,18,8.5,5x112,30,66.56,MB,,,,,,,,,,,,,,,,,
OYL260416283,SJW-074,18,9.0,5x120,35,72.56,B,,,,,,,,,,,,,,,,,
OYL260416282,SJW-074,18,9.0,5x112,35,66.5,MB,,,,,,,,,,,,,,,,,
OYL260416287,SJW-074,19,8.5,5x120,30,72.6,MB,,,,,,,,,,,,,,,,,
OYL260416289,SJW-074,19,9.5,5x120,35,72.6,B,,,,,,,,,,,,,,,,,
OYL260416286,SJW-074,19,9.5,5x112,35,66.5,MB,,,,,,,,,,,,,,,,,
OYL260416288,SJW-074,19,9.5,5x120,35,72.6,MB,,,,,,,,,,,,,,,,,
OYL260416290,SJW-074,20,8.5,5x112,25,66.5,B,,,,,,,,,,,,,,,,,
OYL260416292,SJW-074,20,8.5,5x120,30,72.56,B,,,,,,,,,,,,,,,,,
OYL260416291,SJW-074,20,9.5,5x112,35,66.5,B,,,,,,,,,,,,,,,,,
OYL260416293,SJW-074,20,9.5,5x120,35,72.56,B,,,,,,,,,,,,,,,,,
OYL260416426,SJW-124,19,8.5,5x112,36,66.5,MG,,,,,,,,,,,,,,,,,
OYL260416427,SJW-124,19,9.5,5x112,43,66.5,MG,,,,,,,,,,,,,,,,,
OYL260416428,SJW-124,20,8.5,5x112,36,66.5,MG,,,,,,,,,,,,,,,,,
OYL260416429,SJW-124,20,9.5,5x112,43,66.5,MG,,,,,,,,,,,,,,,,,
