familia,sku,medida,acabado_codigo_proveedor,unidades_incluidas_en_el_precio,pvp_actual_eur,pvp_origen,coste_proveedor,divisa_coste,transporte_peninsula,transporte_baleares,transporte_canarias_ceuta_melilla,costes_adicionales_conocidos,peso_declarado_kg,peso_procedencia,margen,informacion_pendiente
SJW-038,OYL260416094,17x7.5 5x112 ET35 buje 66.45 mm,MB+L,"PENDIENTE. Los títulos y descripciones originales decían ""juego de 4"", pero ese texto lo generó la carga inicial del catálogo, no el proveedor: ninguna nota, metafield ni campo del proveedor menciona unidades. Sin documentar hasta que lo confirme el proveedor o lo decida el propietario.",699.00,"Escalera generada por diámetro en la carga inicial del catálogo: 16""=649,00 · 17""=699,00 · 18""=799,00 · 19""=899,00 · 20""=999,00 · 21""=1.099,00 · 22""=1.249,00 · 23""=1.399,00 €. Fuente: exportación Shopify 19-09-2026, verificada de nuevo el 20-09-2026. No validado comercialmente.",SIN DATO,SIN DATO,"SIN DATO. Tarifa vigente sin tocar: 6,99 € y gratis desde 55 € de pedido, sin condición de peso.","SIN DATO. Hoy cae en la zona ""España"" con la misma tarifa que la península. Baleares sí está dentro del IVA y de la unión aduanera: solo falta el sobrecoste marítimo real.","SIN DATO. Canarias: dentro del territorio aduanero de la Unión pero fuera del IVA (IGIC/AIEM, DUA de introducción). Ceuta y Melilla: fuera del territorio aduanero de la Unión y del IVA (IPSI, importación). Hoy los tres se facturan como península.","SIN DATO: no hay constancia de arancel, IVA o IGIC/IPSI de importación, despacho, última milla ni seguro.",40.0,"Estimación calculada a partir del diámetro (40 kg a 17"" y +4 kg por pulgada). Fuente: exportación Shopify 2026-09-19. No es medición ni peso embalado.",NO CALCULABLE: falta el coste de proveedor,Coste de compra y divisa; incoterm; peso embalado real; plazo de entrega; tarifa de transporte por destino; impuestos y aranceles aplicables; si el PVP es precio final para el cliente; color real del código de acabado MB+L; compatibilidad de vehículos verificada
SJW-038,OYL260416096,18x8.0 5x112 ET35 buje 66.45 mm,MB+L,"PENDIENTE. Los títulos y descripciones originales decían ""juego de 4"", pero ese texto lo generó la carga inicial del catálogo, no el proveedor: ninguna nota, metafield ni campo del proveedor menciona unidades. Sin documentar hasta que lo confirme el proveedor o lo decida el propietario.",799.00,"Escalera generada por diámetro en la carga inicial del catálogo: 16""=649,00 · 17""=699,00 · 18""=799,00 · 19""=899,00 · 20""=999,00 · 21""=1.099,00 · 22""=1.249,00 · 23""=1.399,00 €. Fuente: exportación Shopify 19-09-2026, verificada de nuevo el 20-09-2026. No validado comercialmente.",SIN DATO,SIN DATO,"SIN DATO. Tarifa vigente sin tocar: 6,99 € y gratis desde 55 € de pedido, sin condición de peso.","SIN DATO. Hoy cae en la zona ""España"" con la misma tarifa que la península. Baleares sí está dentro del IVA y de la unión aduanera: solo falta el sobrecoste marítimo real.","SIN DATO. Canarias: dentro del territorio aduanero de la Unión pero fuera del IVA (IGIC/AIEM, DUA de introducción). Ceuta y Melilla: fuera del territorio aduanero de la Unión y del IVA (IPSI, importación). Hoy los tres se facturan como península.","SIN DATO: no hay constancia de arancel, IVA o IGIC/IPSI de importación, despacho, última milla ni seguro.",44.0,"Estimación calculada a partir del diámetro (40 kg a 17"" y +4 kg por pulgada). Fuente: exportación Shopify 2026-09-19. No es medición ni peso embalado.",NO CALCULABLE: falta el coste de proveedor,Coste de compra y divisa; incoterm; peso embalado real; plazo de entrega; tarifa de transporte por destino; impuestos y aranceles aplicables; si el PVP es precio final para el cliente; color real del código de acabado MB+L; compatibilidad de vehículos verificada
SJW-038,OYL260416097,18x8.0 5x112 ET35 buje 66.45 mm,YBZ,"PENDIENTE. Los títulos y descripciones originales decían ""juego de 4"", pero ese texto lo generó la carga inicial del catálogo, no el proveedor: ninguna nota, metafield ni campo del proveedor menciona unidades. Sin documentar hasta que lo confirme el proveedor o lo decida el propietario.",799.00,"Escalera generada por diámetro en la carga inicial del catálogo: 16""=649,00 · 17""=699,00 · 18""=799,00 · 19""=899,00 · 20""=999,00 · 21""=1.099,00 · 22""=1.249,00 · 23""=1.399,00 €. Fuente: exportación Shopify 19-09-2026, verificada de nuevo el 20-09-2026. No validado comercialmente.",SIN DATO,SIN DATO,"SIN DATO. Tarifa vigente sin tocar: 6,99 € y gratis desde 55 € de pedido, sin condición de peso.","SIN DATO. Hoy cae en la zona ""España"" con la misma tarifa que la península. Baleares sí está dentro del IVA y de la unión aduanera: solo falta el sobrecoste marítimo real.","SIN DATO. Canarias: dentro del territorio aduanero de la Unión pero fuera del IVA (IGIC/AIEM, DUA de introducción). Ceuta y Melilla: fuera del territorio aduanero de la Unión y del IVA (IPSI, importación). Hoy los tres se facturan como península.","SIN DATO: no hay constancia de arancel, IVA o IGIC/IPSI de importación, despacho, última milla ni seguro.",44.0,"Estimación calculada a partir del diámetro (40 kg a 17"" y +4 kg por pulgada). Fuente: exportación Shopify 2026-09-19. No es medición ni peso embalado.",NO CALCULABLE: falta el coste de proveedor,Coste de compra y divisa; incoterm; peso embalado real; plazo de entrega; tarifa de transporte por destino; impuestos y aranceles aplicables; si el PVP es precio final para el cliente; color real del código de acabado YBZ; compatibilidad de vehículos verificada
SJW-038,OYL260416099,19x8.5 5x112 ET30 buje 66.45 mm,MB+L,"PENDIENTE. Los títulos y descripciones originales decían ""juego de 4"", pero ese texto lo generó la carga inicial del catálogo, no el proveedor: ninguna nota, metafield ni campo del proveedor menciona unidades. Sin documentar hasta que lo confirme el proveedor o lo decida el propietario.",899.00,"Escalera generada por diámetro en la carga inicial del catálogo: 16""=649,00 · 17""=699,00 · 18""=799,00 · 19""=899,00 · 20""=999,00 · 21""=1.099,00 · 22""=1.249,00 · 23""=1.399,00 €. Fuente: exportación Shopify 19-09-2026, verificada de nuevo el 20-09-2026. No validado comercialmente.",SIN DATO,SIN DATO,"SIN DATO. Tarifa vigente sin tocar: 6,99 € y gratis desde 55 € de pedido, sin condición de peso.","SIN DATO. Hoy cae en la zona ""España"" con la misma tarifa que la península. Baleares sí está dentro del IVA y de la unión aduanera: solo falta el sobrecoste marítimo real.","SIN DATO. Canarias: dentro del territorio aduanero de la Unión pero fuera del IVA (IGIC/AIEM, DUA de introducción). Ceuta y Melilla: fuera del territorio aduanero de la Unión y del IVA (IPSI, importación). Hoy los tres se facturan como península.","SIN DATO: no hay constancia de arancel, IVA o IGIC/IPSI de importación, despacho, última milla ni seguro.",48.0,"Estimación calculada a partir del diámetro (40 kg a 17"" y +4 kg por pulgada). Fuente: exportación Shopify 2026-09-19. No es medición ni peso embalado.",NO CALCULABLE: falta el coste de proveedor,Coste de compra y divisa; incoterm; peso embalado real; plazo de entrega; tarifa de transporte por destino; impuestos y aranceles aplicables; si el PVP es precio final para el cliente; color real del código de acabado MB+L; compatibilidad de vehículos verificada
SJW-038,OYL260416100,20x9.0 5x112 ET30 buje 66.45 mm,MB+L,"PENDIENTE. Los títulos y descripciones originales decían ""juego de 4"", pero ese texto lo generó la carga inicial del catálogo, no el proveedor: ninguna nota, metafield ni campo del proveedor menciona unidades. Sin documentar hasta que lo confirme el proveedor o lo decida el propietario.",999.00,"Escalera generada por diámetro en la carga inicial del catálogo: 16""=649,00 · 17""=699,00 · 18""=799,00 · 19""=899,00 · 20""=999,00 · 21""=1.099,00 · 22""=1.249,00 · 23""=1.399,00 €. Fuente: exportación Shopify 19-09-2026, verificada de nuevo el 20-09-2026. No validado comercialmente.",SIN DATO,SIN DATO,"SIN DATO. Tarifa vigente sin tocar: 6,99 € y gratis desde 55 € de pedido, sin condición de peso.","SIN DATO. Hoy cae en la zona ""España"" con la misma tarifa que la península. Baleares sí está dentro del IVA y de la unión aduanera: solo falta el sobrecoste marítimo real.","SIN DATO. Canarias: dentro del territorio aduanero de la Unión pero fuera del IVA (IGIC/AIEM, DUA de introducción). Ceuta y Melilla: fuera del territorio aduanero de la Unión y del IVA (IPSI, importación). Hoy los tres se facturan como península.","SIN DATO: no hay constancia de arancel, IVA o IGIC/IPSI de importación, despacho, última milla ni seguro.",52.0,"Estimación calculada a partir del diámetro (40 kg a 17"" y +4 kg por pulgada). Fuente: exportación Shopify 2026-09-19. No es medición ni peso embalado.",NO CALCULABLE: falta el coste de proveedor,Coste de compra y divisa; incoterm; peso embalado real; plazo de entrega; tarifa de transporte por destino; impuestos y aranceles aplicables; si el PVP es precio final para el cliente; color real del código de acabado MB+L; compatibilidad de vehículos verificada
SJW-038,OYL260416101,21x9.0 5x112 ET25 buje 66.5 mm,MB+L,"PENDIENTE. Los títulos y descripciones originales decían ""juego de 4"", pero ese texto lo generó la carga inicial del catálogo, no el proveedor: ninguna nota, metafield ni campo del proveedor menciona unidades. Sin documentar hasta que lo confirme el proveedor o lo decida el propietario.",1099.00,"Escalera generada por diámetro en la carga inicial del catálogo: 16""=649,00 · 17""=699,00 · 18""=799,00 · 19""=899,00 · 20""=999,00 · 21""=1.099,00 · 22""=1.249,00 · 23""=1.399,00 €. Fuente: exportación Shopify 19-09-2026, verificada de nuevo el 20-09-2026. No validado comercialmente.",SIN DATO,SIN DATO,"SIN DATO. Tarifa vigente sin tocar: 6,99 € y gratis desde 55 € de pedido, sin condición de peso.","SIN DATO. Hoy cae en la zona ""España"" con la misma tarifa que la península. Baleares sí está dentro del IVA y de la unión aduanera: solo falta el sobrecoste marítimo real.","SIN DATO. Canarias: dentro del territorio aduanero de la Unión pero fuera del IVA (IGIC/AIEM, DUA de introducción). Ceuta y Melilla: fuera del territorio aduanero de la Unión y del IVA (IPSI, importación). Hoy los tres se facturan como península.","SIN DATO: no hay constancia de arancel, IVA o IGIC/IPSI de importación, despacho, última milla ni seguro.",56.0,"Estimación calculada a partir del diámetro (40 kg a 17"" y +4 kg por pulgada). Fuente: exportación Shopify 2026-09-19. No es medición ni peso embalado.",NO CALCULABLE: falta el coste de proveedor,Coste de compra y divisa; incoterm; peso embalado real; plazo de entrega; tarifa de transporte por destino; impuestos y aranceles aplicables; si el PVP es precio final para el cliente; color real del código de acabado MB+L; compatibilidad de vehículos verificada
SJW-040,OYL260416104,18x8.0 5x112 ET36 buje 66.5 mm,MB,"PENDIENTE. Los títulos y descripciones originales decían ""juego de 4"", pero ese texto lo generó la carga inicial del catálogo, no el proveedor: ninguna nota, metafield ni campo del proveedor menciona unidades. Sin documentar hasta que lo confirme el proveedor o lo decida el propietario.",799.00,"Escalera generada por diámetro en la carga inicial del catálogo: 16""=649,00 · 17""=699,00 · 18""=799,00 · 19""=899,00 · 20""=999,00 · 21""=1.099,00 · 22""=1.249,00 · 23""=1.399,00 €. Fuente: exportación Shopify 19-09-2026, verificada de nuevo el 20-09-2026. No validado comercialmente.",SIN DATO,SIN DATO,"SIN DATO. Tarifa vigente sin tocar: 6,99 € y gratis desde 55 € de pedido, sin condición de peso.","SIN DATO. Hoy cae en la zona ""España"" con la misma tarifa que la península. Baleares sí está dentro del IVA y de la unión aduanera: solo falta el sobrecoste marítimo real.","SIN DATO. Canarias: dentro del territorio aduanero de la Unión pero fuera del IVA (IGIC/AIEM, DUA de introducción). Ceuta y Melilla: fuera del territorio aduanero de la Unión y del IVA (IPSI, importación). Hoy los tres se facturan como península.","SIN DATO: no hay constancia de arancel, IVA o IGIC/IPSI de importación, despacho, última milla ni seguro.",44.0,"Estimación calculada a partir del diámetro (40 kg a 17"" y +4 kg por pulgada). Fuente: exportación Shopify 2026-09-19. No es medición ni peso embalado.",NO CALCULABLE: falta el coste de proveedor,Coste de compra y divisa; incoterm; peso embalado real; plazo de entrega; tarifa de transporte por destino; impuestos y aranceles aplicables; si el PVP es precio final para el cliente; color real del código de acabado MB; compatibilidad de vehículos verificada
SJW-040,OYL260416106,18x8.0 5x112 ET36 buje 66.5 mm,MG,"PENDIENTE. Los títulos y descripciones originales decían ""juego de 4"", pero ese texto lo generó la carga inicial del catálogo, no el proveedor: ninguna nota, metafield ni campo del proveedor menciona unidades. Sin documentar hasta que lo confirme el proveedor o lo decida el propietario.",799.00,"Escalera generada por diámetro en la carga inicial del catálogo: 16""=649,00 · 17""=699,00 · 18""=799,00 · 19""=899,00 · 20""=999,00 · 21""=1.099,00 · 22""=1.249,00 · 23""=1.399,00 €. Fuente: exportación Shopify 19-09-2026, verificada de nuevo el 20-09-2026. No validado comercialmente.",SIN DATO,SIN DATO,"SIN DATO. Tarifa vigente sin tocar: 6,99 € y gratis desde 55 € de pedido, sin condición de peso.","SIN DATO. Hoy cae en la zona ""España"" con la misma tarifa que la península. Baleares sí está dentro del IVA y de la unión aduanera: solo falta el sobrecoste marítimo real.","SIN DATO. Canarias: dentro del territorio aduanero de la Unión pero fuera del IVA (IGIC/AIEM, DUA de introducción). Ceuta y Melilla: fuera del territorio aduanero de la Unión y del IVA (IPSI, importación). Hoy los tres se facturan como península.","SIN DATO: no hay constancia de arancel, IVA o IGIC/IPSI de importación, despacho, última milla ni seguro.",44.0,"Estimación calculada a partir del diámetro (40 kg a 17"" y +4 kg por pulgada). Fuente: exportación Shopify 2026-09-19. No es medición ni peso embalado.",NO CALCULABLE: falta el coste de proveedor,Coste de compra y divisa; incoterm; peso embalado real; plazo de entrega; tarifa de transporte por destino; impuestos y aranceles aplicables; si el PVP es precio final para el cliente; color real del código de acabado MG; compatibilidad de vehículos verificada
SJW-040,OYL260416105,18x9.0 5x112 ET42 buje 66.5 mm,MB,"PENDIENTE. Los títulos y descripciones originales decían ""juego de 4"", pero ese texto lo generó la carga inicial del catálogo, no el proveedor: ninguna nota, metafield ni campo del proveedor menciona unidades. Sin documentar hasta que lo confirme el proveedor o lo decida el propietario.",799.00,"Escalera generada por diámetro en la carga inicial del catálogo: 16""=649,00 · 17""=699,00 · 18""=799,00 · 19""=899,00 · 20""=999,00 · 21""=1.099,00 · 22""=1.249,00 · 23""=1.399,00 €. Fuente: exportación Shopify 19-09-2026, verificada de nuevo el 20-09-2026. No validado comercialmente.",SIN DATO,SIN DATO,"SIN DATO. Tarifa vigente sin tocar: 6,99 € y gratis desde 55 € de pedido, sin condición de peso.","SIN DATO. Hoy cae en la zona ""España"" con la misma tarifa que la península. Baleares sí está dentro del IVA y de la unión aduanera: solo falta el sobrecoste marítimo real.","SIN DATO. Canarias: dentro del territorio aduanero de la Unión pero fuera del IVA (IGIC/AIEM, DUA de introducción). Ceuta y Melilla: fuera del territorio aduanero de la Unión y del IVA (IPSI, importación). Hoy los tres se facturan como península.","SIN DATO: no hay constancia de arancel, IVA o IGIC/IPSI de importación, despacho, última milla ni seguro.",44.0,"Estimación calculada a partir del diámetro (40 kg a 17"" y +4 kg por pulgada). Fuente: exportación Shopify 2026-09-19. No es medición ni peso embalado.",NO CALCULABLE: falta el coste de proveedor,Coste de compra y divisa; incoterm; peso embalado real; plazo de entrega; tarifa de transporte por destino; impuestos y aranceles aplicables; si el PVP es precio final para el cliente; color real del código de acabado MB; compatibilidad de vehículos verificada
SJW-040,OYL260416107,18x9.0 5x112 ET42 buje 66.5 mm,MG,"PENDIENTE. Los títulos y descripciones originales decían ""juego de 4"", pero ese texto lo generó la carga inicial del catálogo, no el proveedor: ninguna nota, metafield ni campo del proveedor menciona unidades. Sin documentar hasta que lo confirme el proveedor o lo decida el propietario.",799.00,"Escalera generada por diámetro en la carga inicial del catálogo: 16""=649,00 · 17""=699,00 · 18""=799,00 · 19""=899,00 · 20""=999,00 · 21""=1.099,00 · 22""=1.249,00 · 23""=1.399,00 €. Fuente: exportación Shopify 19-09-2026, verificada de nuevo el 20-09-2026. No validado comercialmente.",SIN DATO,SIN DATO,"SIN DATO. Tarifa vigente sin tocar: 6,99 € y gratis desde 55 € de pedido, sin condición de peso.","SIN DATO. Hoy cae en la zona ""España"" con la misma tarifa que la península. Baleares sí está dentro del IVA y de la unión aduanera: solo falta el sobrecoste marítimo real.","SIN DATO. Canarias: dentro del territorio aduanero de la Unión pero fuera del IVA (IGIC/AIEM, DUA de introducción). Ceuta y Melilla: fuera del territorio aduanero de la Unión y del IVA (IPSI, importación). Hoy los tres se facturan como península.","SIN DATO: no hay constancia de arancel, IVA o IGIC/IPSI de importación, despacho, última milla ni seguro.",44.0,"Estimación calculada a partir del diámetro (40 kg a 17"" y +4 kg por pulgada). Fuente: exportación Shopify 2026-09-19. No es medición ni peso embalado.",NO CALCULABLE: falta el coste de proveedor,Coste de compra y divisa; incoterm; peso embalado real; plazo de entrega; tarifa de transporte por destino; impuestos y aranceles aplicables; si el PVP es precio final para el cliente; color real del código de acabado MG; compatibilidad de vehículos verificada
