sku,producto,handle,estado_producto,diametro,anchura,pcd,et,buje,peso,peso_unidad,unidades_por_juego,acabado,carga,estado_datos,campos_ausentes,datos_anomalos,n_metafields
OYL260416001,Juego de 4 llantas 18 pulgadas Mercedes-Benz – OYL260416001,oyl260416001-18-mercedes-benz,DRAFT,18,8.5,5x112,43,66.5,44,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416002,Juego de 4 llantas 18 pulgadas Volkswagen – OYL260416002,oyl260416002-18-volkswagen,DRAFT,18,8.0,5x112,48,57.1,44,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416003,Juego de 4 llantas 17 pulgadas Audi – OYL260416003,oyl260416003-17-audi,DRAFT,17,8.0,5x112,38,66.45,40,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416004,Juego de 4 llantas 18 pulgadas Audi – OYL260416004,oyl260416004-18-audi,DRAFT,18,8.0,5x112,39,66.5,44,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416005,Juego de 4 llantas 16 pulgadas Volkswagen – OYL260416005,oyl260416005-16-volkswagen,DRAFT,16,7.0,5x112,45,57.1,36,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416006,Juego de 4 llantas 17 pulgadas Mercedes-Benz – OYL260416006,oyl260416006-17-mercedes-benz,DRAFT,17,7.0,5x112,48,66.5,40,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416007,Juego de 4 llantas 18 pulgadas Volkswagen – OYL260416007,oyl260416007-18-volkswagen,DRAFT,18,8.0,5x112,48,57.1,44,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416008,Juego de 4 llantas 18 pulgadas Volkswagen – OYL260416008,oyl260416008-18-volkswagen,DRAFT,18,8.0,5x112,44,57.1,44,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416009,Juego de 4 llantas 19 pulgadas Audi – OYL260416009,oyl260416009-19-audi,DRAFT,19,8.5,5x112,35,66.45,48,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416010,Juego de 4 llantas 18 pulgadas Volkswagen – OYL260416010,oyl260416010-18-volkswagen,DRAFT,18,8.0,5x112,44,57.1,44,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416011,Juego de 4 llantas 18 pulgadas Mercedes-Benz – OYL260416011,oyl260416011-18-mercedes-benz,DRAFT,18,8.0,5x112,45,66.5,44,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416012,Juego de 4 llantas 18 pulgadas Volkswagen – OYL260416012,oyl260416012-18-volkswagen,DRAFT,18,7.0,5x112,45,57.1,44,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416013,Juego de 4 llantas 18 pulgadas Mercedes-Benz – OYL260416013,oyl260416013-18-mercedes-benz,DRAFT,18,8.0,5x112,43,66.5,44,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416014,Juego de 4 llantas 18 pulgadas BMW – OYL260416014,oyl260416014-18-bmw,DRAFT,18,8.0,5x120,34,72.6,44,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
OYL260416015,Juego de 4 llantas 18 pulgadas BMW – OYL260416015,oyl260416015-18-bmw,DRAFT,18,8.5,5x120,47,72.6,44,KILOGRAMS,4 (por defecto del tema),,,completo,,,5
