sku,producto,handle,url,ancho_px,alto_px,formato,relacion_aspecto,megapixeles,n_imagenes_producto,productos_con_esta_imagen,alt_presente,imagen_repetida,clasificacion
OYL260416001,Juego de 4 llantas 18 pulgadas Mercedes-Benz – OYL260416001,oyl260416001-18-mercedes-benz,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-001_3f908267-4cb4-4168-9745-d7a3ef22acee.jpg,151,133,jpg,1.135,0.02,1,1,si,no,baja resolución
OYL260416002,Juego de 4 llantas 18 pulgadas Volkswagen – OYL260416002,oyl260416002-18-volkswagen,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-002_fcbdccb0-ef30-4d52-9b3d-bc61acdce804.jpg,167,248,jpg,0.673,0.04,1,1,si,no,baja resolución
OYL260416003,Juego de 4 llantas 17 pulgadas Audi – OYL260416003,oyl260416003-17-audi,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-003_136ad086-5ea2-4262-8d3f-5f156292842f.jpg,158,147,jpg,1.075,0.02,1,1,si,no,baja resolución
OYL260416004,Juego de 4 llantas 18 pulgadas Audi – OYL260416004,oyl260416004-18-audi,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-004_64ca8fe6-daaa-4e5c-a14a-fc3c62415755.jpg,140,131,jpg,1.069,0.02,1,1,si,no,baja resolución
OYL260416005,Juego de 4 llantas 16 pulgadas Volkswagen – OYL260416005,oyl260416005-16-volkswagen,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-005_52ff5705-6c20-493d-992a-bd4e64c689bc.jpg,147,131,jpg,1.122,0.02,1,1,si,no,baja resolución
OYL260416006,Juego de 4 llantas 17 pulgadas Mercedes-Benz – OYL260416006,oyl260416006-17-mercedes-benz,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-006_9780313b-ec59-40b0-a82d-6cb2b8ff57e4.jpg,138,138,jpg,1.000,0.02,1,1,si,no,baja resolución
OYL260416007,Juego de 4 llantas 18 pulgadas Volkswagen – OYL260416007,oyl260416007-18-volkswagen,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-007_b9ad14ac-a1e2-44b7-baf2-9ea3344e4ec9.jpg,138,131,jpg,1.053,0.02,1,1,si,no,baja resolución
OYL260416008,Juego de 4 llantas 18 pulgadas Volkswagen – OYL260416008,oyl260416008-18-volkswagen,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-008_841e3ce9-f642-4bb5-8e00-99e8abb50476.jpg,133,126,jpg,1.056,0.02,1,1,si,no,baja resolución
OYL260416009,Juego de 4 llantas 19 pulgadas Audi – OYL260416009,oyl260416009-19-audi,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-009_30f48c03-8f57-4f01-93a7-4d3054e9d0d1.jpg,131,128,jpg,1.023,0.02,1,1,si,no,baja resolución
OYL260416010,Juego de 4 llantas 18 pulgadas Volkswagen – OYL260416010,oyl260416010-18-volkswagen,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-010_4da3b5ed-99e6-4b2c-80fb-8b0af91c14db.png,128,123,png,1.041,0.02,1,1,si,no,baja resolución
