prioridad,marca,familia_modelo,productos_afectados,pcd_observados,diametros_observados,et_min_observado,et_max_observado,bujes_observados,estado_verificacion,skus
1,BMW,3/5系,25,"5x112,5x120","17,18,19,20",25,44,"66.5,66.56,72.5,72.56,72.6",pendiente_datos_propietario,OYL260416085 OYL260416171 OYL260416172 OYL260416173 OYL260416201 OYL260416202 OYL260416203 OYL260416204 OYL260416205 OYL260416206 OYL260416224 OYL260416225 OYL260416226 OYL260416227 OYL260416255 OYL260416256 OYL260416257 OYL260416317 OYL260416318 OYL260416319 OYL260416320 OYL260416321 OYL260416322 OYL260416323 OYL260416324
2,BMW,5系,25,"5x112,5x120","17,18,19,20",30,35,"66.5,66.56,72.56,72.6",pendiente_datos_propietario,OYL260416022 OYL260416040 OYL260416041 OYL260416058 OYL260416081 OYL260416082 OYL260416083 OYL260416084 OYL260416086 OYL260416087 OYL260416282 OYL260416283 OYL260416284 OYL260416285 OYL260416286 OYL260416287 OYL260416288 OYL260416289 OYL260416292 OYL260416293 OYL260416297 OYL260416298 OYL260416299 OYL260416300 OYL260416301
3,Mercedes-Benz,E级,21,5x112,"18,19,20",36,45,66.5,pendiente_datos_propietario,OYL260416013 OYL260416088 OYL260416113 OYL260416114 OYL260416115 OYL260416116 OYL260416118 OYL260416119 OYL260416120 OYL260416121 OYL260416122 OYL260416123 OYL260416124 OYL260416125 OYL260416198 OYL260416199 OYL260416200 OYL260416249 OYL260416250 OYL260416251 OYL260416252
4,Audi,RS6,16,5x112,"20,21,22,23",20,30,"66.45,66.5",pendiente_datos_propietario,OYL260416191 OYL260416263 OYL260416264 OYL260416266 OYL260416267 OYL260416268 OYL260416269 OYL260416270 OYL260416271 OYL260416272 OYL260416273 OYL260416274 OYL260416275 OYL260416364 OYL260416365 OYL260416366
5,BMW,5系7系,16,"5x112,5x120","18,19,20",25,35,"66.5,72.56,72.6",pendiente_datos_propietario,OYL260416157 OYL260416158 OYL260416159 OYL260416160 OYL260416161 OYL260416162 OYL260416163 OYL260416235 OYL260416236 OYL260416237 OYL260416238 OYL260416239 OYL260416240 OYL260416241 OYL260416242 OYL260416243
6,Audi,A6,14,5x112,"17,18,19,20,21",25,35,"66.45,66.5",pendiente_datos_propietario,OYL260416061 OYL260416063 OYL260416064 OYL260416089 OYL260416090 OYL260416091 OYL260416092 OYL260416093 OYL260416094 OYL260416096 OYL260416097 OYL260416099 OYL260416100 OYL260416101
7,BMW,X5M,14,"5x112,5x120","20,22",35,43,"66.5,66.56,74.1",pendiente_datos_propietario,OYL260416067 OYL260416068 OYL260416069 OYL260416070 OYL260416071 OYL260416072 OYL260416073 OYL260416074 OYL260416075 OYL260416076 OYL260416077 OYL260416078 OYL260416079 OYL260416080
8,Mercedes-Benz,GLS,13,5x112,"19,20,21,22",36,47,66.5,pendiente_datos_propietario,OYL260416032 OYL260416033 OYL260416135 OYL260416136 OYL260416137 OYL260416138 OYL260416139 OYL260416140 OYL260416141 OYL260416142 OYL260416143 OYL260416144 OYL260416145
9,BMW,X5,12,"5x112,5x120","20,22",35,43,"66.5,74.1",pendiente_datos_propietario,OYL260416049 OYL260416050 OYL260416212 OYL260416213 OYL260416214 OYL260416228 OYL260416229 OYL260416230 OYL260416231 OYL260416232 OYL260416233 OYL260416234
10,Audi,A7,11,5x112,"18,19,20,21",30,35,"66.45,66.5",pendiente_datos_propietario,OYL260416209 OYL260416260 OYL260416261 OYL260416262 OYL260416265 OYL260416276 OYL260416277 OYL260416278 OYL260416279 OYL260416280 OYL260416281
