sku,handle,marca_etiqueta,acabado_codigo,diametro,anchura,pcd,et,buje,compatibilidad_proveedor_original,contiene_texto_chino
OYL260416001,oyl260416001-18-mercedes-benz,mercedes-benz,s,18,8.5,5x112,43,66.5,BENZ S350,no
OYL260416002,oyl260416002-18-volkswagen,volkswagen,mb,18,8.0,5x112,48,57.1,VWPassat,no
OYL260416003,oyl260416003-17-audi,audi,s,17,8.0,5x112,38,66.45,AUDIA6L-2012,no
OYL260416004,oyl260416004-18-audi,audi,s,18,8.0,5x112,39,66.5,AUDIA6L,no
OYL260416005,oyl260416005-16-volkswagen,volkswagen,s,16,7.0,5x112,45,57.1,VWPassat领驭 2005,si
OYL260416006,oyl260416006-17-mercedes-benz,mercedes-benz,mg,17,7.0,5x112,48,66.5,BENZ C200 2015,no
OYL260416007,oyl260416007-18-volkswagen,volkswagen,mb,18,8.0,5x112,48,57.1,VWPassat 2016,no
OYL260416008,oyl260416008-18-volkswagen,volkswagen,mb,18,8.0,5x112,44,57.1,VWMagotan2017,no
OYL260416009,oyl260416009-19-audi,audi,mb,19,8.5,5x112,35,66.45,AUDIRS7 2016,no
OYL260416010,oyl260416010-18-volkswagen,volkswagen,mb,18,8.0,5x112,44,57.1,VWPassat 2019,no
OYL260416011,oyl260416011-18-mercedes-benz,mercedes-benz,myb,18,8.0,5x112,45,66.5,BENZ C级 威霆,si
OYL260416012,oyl260416012-18-volkswagen,volkswagen,mb,18,7.0,5x112,45,57.1,VW途岳,si
OYL260416013,oyl260416013-18-mercedes-benz,mercedes-benz,mg,18,8.0,5x112,43,66.5,BENZ E级,si
OYL260416014,oyl260416014-18-bmw,bmw,s,18,8.0,5x120,34,72.6,BMW 3系前轮 2019,si
OYL260416015,oyl260416015-18-bmw,bmw,b,18,8.5,5x120,47,72.6,BMW 3系后轮 2019,si
OYL260416016,oyl260416016-17-audi,audi,mb,17,7.5,5x112,35,66.45,AUDIA4/改装车型,si
OYL260416017,oyl260416017-18-vehiculos-europeos,vehículos-europeos,mb,18,8.0,5x114.3,35,73.1,改装,si
OYL260416018,oyl260416018-19-audi,audi,mb,19,8.5,5x112,35,66.45,AUDI,no
OYL260416019,oyl260416019-19-vehiculos-europeos,vehículos-europeos,mb,19,8.5,5x114.3,35,73.1,改装,si
OYL260416020,oyl260416020-20-audi,audi,mb,20,9.0,5x112,30,66.45,AUDIA8/Q7,no
OYL260416021,oyl260416021-21-audi,audi,mb,21,9.0,5x112,30,66.45,AUDIA8/Q7,no
OYL260416022,oyl260416022-18-bmw,bmw,mg,18,8.0,5x112,30,66.56,BMW 5系,si
OYL260416023,oyl260416023-18-bmw,bmw,s,18,8.0,5x120,31,72.6,BMW 730Li,no
OYL260416024,oyl260416024-20-bmw,bmw,b,20,11.0,5x120,37,74.1,BMW *5后轮,si
OYL260416025,oyl260416025-20-bmw,bmw,mg,20,11.0,5x120,37,74.1,BMW *5后轮,si
OYL260416026,oyl260416026-19-mercedes-benz,mercedes-benz,miyb,19,8.5,5x112,38,66.56,BENZ,no
OYL260416027,oyl260416027-19-mercedes-benz,mercedes-benz,miyb,19,9.5,5x112,43,66.56,BENZ,no
OYL260416028,oyl260416028-20-mercedes-benz,mercedes-benz,miyb,20,8.5,5x112,38,66.56,BENZ,no
OYL260416029,oyl260416029-20-mercedes-benz,mercedes-benz,miyb,20,9.5,5x112,43,66.56,BENZ,no
OYL260416030,oyl260416030-21-mercedes-benz,mercedes-benz,miyb,21,10.0,5x112,45,66.5,BENZ,no
OYL260416031,oyl260416031-21-mercedes-benz,mercedes-benz,miyb,21,11.0,5x112,42,66.5,BENZ,no
OYL260416032,oyl260416032-22-mercedes-benz,mercedes-benz,miyb,22,11.5,5x112,47,66.5,BENZ GLS/GLE,no
OYL260416033,oyl260416033-22-mercedes-benz,mercedes-benz,mb,22,11.5,5x112,47,66.5,BENZ GLS/GLE,no
OYL260416034,oyl260416034-19-mercedes-benz,mercedes-benz,myb,19,9.5,5x112,43,66.45,BENZ,no
OYL260416035,oyl260416035-19-mercedes-benz,mercedes-benz,miyb,19,8.5,5x112,38,66.45,BENZ,no
OYL260416036,oyl260416036-19-mercedes-benz,mercedes-benz,miyb,19,9.5,5x112,43,66.45,BENZ,no
OYL260416037,oyl260416037-20-mercedes-benz,mercedes-benz,miyb,20,9.5,5x112,43,66.45,BENZ,no
OYL260416038,oyl260416038-22-mercedes-benz,mercedes-benz,miyb,22,10.0,5x130,35,84.1,BENZ G500/G63,no
OYL260416039,oyl260416039-22-mercedes-benz,mercedes-benz,miyb+r,22,10.0,5x130,35,84.1,BENZ G500/G63,no
OYL260416040,oyl260416040-18-bmw,bmw,mg,18,8.0,5x120,30,72.6,BMW 5系,si
OYL260416041,oyl260416041-17-bmw,bmw,s,17,8.0,5x120,30,72.6,BMW 5系,si
OYL260416042,oyl260416042-20-bmw,bmw,mg,20,11.0,5x112,35,66.6,BMW *5前轮,si
OYL260416043,oyl260416043-20-bmw,bmw,mb,20,10.0,5x112,40,66.5,BMW *5前轮,si
OYL260416044,oyl260416044-20-bmw,bmw,mb,20,11.0,5x112,35,66.6,BMW *5后轮,si
OYL260416045,oyl260416045-20-bmw,bmw,mg,20,10.0,5x120,40,74.1,BMW *5前轮,si
OYL260416046,oyl260416046-20-bmw,bmw,mg,20,11.0,5x120,35,74.1,BMW *5后轮,si
OYL260416047,oyl260416047-20-bmw,bmw,mb,20,10.0,5x120,40,74.1,BMW *5前轮,si
OYL260416048,oyl260416048-20-bmw,bmw,mb,20,11.0,5x120,35,74.1,BMW *5后轮,si
OYL260416049,oyl260416049-20-bmw,bmw,mb,20,10.5,5x112,40,66.5,BMW X5/X6,no
OYL260416050,oyl260416050-20-bmw,bmw,b,20,10.5,5x112,40,66.5,BMW X5/X6,no
OYL260416051,oyl260416051-22-bmw,bmw,mb,22,9.5,5x112,37,66.5,BMW X5X6,no
OYL260416052,oyl260416052-22-bmw,bmw,mb,22,9.5,5x120,37,74.1,BMW X5X6,no
OYL260416053,oyl260416053-22-bmw,bmw,b,22,9.5,5x120,37,74.1,BMW X5X6,no
OYL260416054,oyl260416054-22-bmw,bmw,b,22,10.5,5x112,43,66.5,BMW X5X6,no
OYL260416055,oyl260416055-18-audi,audi,mb,18,8.0,5x112,35,66.5,AUDI,no
OYL260416056,oyl260416056-19-audi,audi,mb,19,8.5,5x112,35,66.45,AUDIA3/4/5/6/7/8,no
OYL260416057,oyl260416057-19-audi,audi,mb,19,8.5,5x112,35,66.45,AUDIA3/4/5/6/7/8,no
OYL260416058,oyl260416058-18-bmw,bmw,ms,18,8.0,5x120,30,72.6,BMW 5系,si
OYL260416059,oyl260416059-17-audi,audi,mb,17,7.5,5x112,35,66.45,AUDIA4/A6,no
OYL260416060,oyl260416060-17-audi,audi,mg,17,7.5,5x112,35,66.45,AUDIA4/A6,no
OYL260416061,oyl260416061-18-audi,audi,mb,18,8.0,5x112,35,66.45,AUDIA6/A8,no
OYL260416062,oyl260416062-19-audi,audi,mg,19,8.5,5x112,35,66.45,AUDIA6A8,no
OYL260416063,oyl260416063-20-audi,audi,mg,20,9.0,5x112,30,66.45,AUDIA6/A8,no
OYL260416064,oyl260416064-20-audi,audi,mb,20,9.0,5x112,30,66.45,AUDIA6/A8,no
OYL260416065,oyl260416065-19-bmw,bmw,mb,19,8.5,5x112,30,66.5,BMW,no
OYL260416066,oyl260416066-19-bmw,bmw,mb,19,9.5,5x120,35,72.6,BMW,no
OYL260416067,oyl260416067-20-bmw,bmw,mb,20,9.0,5x112,35,66.5,BMW X5M/X6M,no
OYL260416068,oyl260416068-20-bmw,bmw,mb,20,10.5,5x112,40,66.5,BMW X5M/X6M,no
OYL260416069,oyl260416069-20-bmw,bmw,b,20,10.5,5x112,40,66.5,BMW X5M/X6M,no
OYL260416070,oyl260416070-20-bmw,bmw,mb,20,9.0,5x120,35,74.1,BMW X5M/X6M,no
OYL260416071,oyl260416071-20-bmw,bmw,mb,20,10.5,5x120,40,74.1,BMW X5M/X6M,no
OYL260416072,oyl260416072-20-bmw,bmw,b,20,10.5,5x120,40,74.1,BMW X5M/X6M,no
OYL260416073,oyl260416073-20-bmw,bmw,mb+b,20,10.5,5x112,40,66.5,BMW X5M/X6M,no
OYL260416074,oyl260416074-20-bmw,bmw,mb+b,20,10.5,5x120,40,74.1,BMW X5M/X6M,no
OYL260416075,oyl260416075-22-bmw,bmw,mb,22,9.5,5x112,37,66.56,BMW X5M/X6M,no
OYL260416076,oyl260416076-22-bmw,bmw,mb,22,10.5,5x112,43,66.56,BMW X5M/X6M,no
OYL260416077,oyl260416077-22-bmw,bmw,b,22,9.5,5x112,37,66.56,BMW X5M/X6M,no
OYL260416078,oyl260416078-22-bmw,bmw,b,22,10.5,5x120,43,74.1,BMW X5M/X6M,no
OYL260416079,oyl260416079-22-bmw,bmw,mb+b,22,9.5,5x112,37,66.5,BMW X5M/X6M,no
OYL260416080,oyl260416080-22-bmw,bmw,mb+b,22,10.5,5x120,43,74.1,BMW X5M/X6M,no
OYL260416081,oyl260416081-18-bmw,bmw,s,18,8.0,5x112,30,66.56,BMW 5系,si
OYL260416082,oyl260416082-18-bmw,bmw,s,18,8.0,5x120,30,72.6,BMW 5系,si
OYL260416083,oyl260416083-18-bmw,bmw,mg-d,18,8.0,5x112,30,66.56,BMW 5系,si
OYL260416084,oyl260416084-18-bmw,bmw,mg,18,8.0,5x112,30,66.56,BMW 5系,si
OYL260416085,oyl260416085-17-bmw,bmw,mb,17,8.0,5x120,25,72.6,BMW 3/5系,si
OYL260416086,oyl260416086-19-bmw,bmw,mb,19,8.0,5x120,30,72.56,BMW 5系,si
OYL260416087,oyl260416087-19-bmw,bmw,b,19,8.0,5x120,30,72.56,BMW 5系,si
OYL260416088,oyl260416088-18-mercedes-benz,mercedes-benz,mg,18,8.0,5x112,43,66.5,BENZ E级,si
OYL260416089,oyl260416089-19-audi,audi,mg,19,8.5,5x112,30,66.45,AUDIA6/A8,no
OYL260416090,oyl260416090-19-audi,audi,mb,19,8.5,5x112,30,66.45,AUDIA6/A8,no
OYL260416091,oyl260416091-20-audi,audi,mg,20,9.0,5x112,30,66.45,AUDIA6/A8,no
OYL260416092,oyl260416092-20-audi,audi,mb,20,9.0,5x112,30,66.45,AUDIA6/A8,no
OYL260416093,oyl260416093-20-audi,audi,p,20,9.0,5x112,30,66.45,AUDIA6/A8,no
OYL260416094,oyl260416094-17-audi,audi,mb+l,17,7.5,5x112,35,66.45,AUDIA6/A8,no
OYL260416095,oyl260416095-17-vehiculos-europeos,vehículos-europeos,,17,7.5,5x112,,66.5,Consultar,no
OYL260416096,oyl260416096-18-audi,audi,mb+l,18,8.0,5x112,35,66.45,AUDIA6/A8,no
OYL260416097,oyl260416097-18-audi,audi,ybz,18,8.0,5x112,35,66.45,AUDIA6/A8,no
OYL260416098,oyl260416098-18-vehiculos-europeos,vehículos-europeos,,18,8.0,5x112,,66.5,Consultar,no
OYL260416099,oyl260416099-19-audi,audi,mb+l,19,8.5,5x112,30,66.45,AUDIA6/A8,no
OYL260416100,oyl260416100-20-audi,audi,mb+l,20,9.0,5x112,30,66.45,AUDIA6/A8,no
OYL260416101,oyl260416101-21-audi,audi,mb+l,21,9.0,5x112,25,66.5,AUDIA6/A8,no
OYL260416102,oyl260416102-20-audi,audi,mb,20,9.0,5x112,30,66.45,AUDIQ8,no
OYL260416103,oyl260416103-23-audi,audi,b,23,10.0,5x112,20,66.5,AUDIQ8,no
OYL260416104,oyl260416104-18-mercedes-benz,mercedes-benz,mb,18,8.0,5x112,36,66.5,BENZ S级新,si
OYL260416105,oyl260416105-18-mercedes-benz,mercedes-benz,mb,18,9.0,5x112,42,66.5,BENZ S级新,si
OYL260416106,oyl260416106-18-mercedes-benz,mercedes-benz,mg,18,8.0,5x112,36,66.5,BENZ S级新,si
OYL260416107,oyl260416107-18-mercedes-benz,mercedes-benz,mg,18,9.0,5x112,42,66.5,BENZ S级新,si
OYL260416108,oyl260416108-19-mercedes-benz,mercedes-benz,mg,19,9.5,5x112,43,66.5,BENZ S级新,si
OYL260416109,oyl260416109-19-mercedes-benz,mercedes-benz,mb,19,9.5,5x112,43,66.5,BENZ S级新,si
OYL260416110,oyl260416110-20-mercedes-benz,mercedes-benz,mg,20,8.5,5x112,36,66.5,BENZ S级新,si
OYL260416111,oyl260416111-20-mercedes-benz,mercedes-benz,mb,20,8.5,5x112,36,66.5,BENZ S级新,si
OYL260416112,oyl260416112-20-mercedes-benz,mercedes-benz,mb,20,9.5,5x112,43,66.5,BENZ S级新,si
OYL260416113,oyl260416113-18-mercedes-benz,mercedes-benz,mbi,18,8.0,5x112,40,66.5,BENZ E级,si
OYL260416114,oyl260416114-18-mercedes-benz,mercedes-benz,mbi,18,9.0,5x112,45,66.5,BENZ E级,si
OYL260416115,oyl260416115-18-mercedes-benz,mercedes-benz,mb,18,8.0,5x112,40,66.5,BENZ E级,si
OYL260416116,oyl260416116-18-mercedes-benz,mercedes-benz,mb,18,9.0,5x112,45,66.5,BENZ E级,si
OYL260416117,oyl260416117-18-vehiculos-europeos,vehículos-europeos,mbi,18,8.0,5x112,35,66.6,Consultar,no
OYL260416118,oyl260416118-19-mercedes-benz,mercedes-benz,mbi,19,8.0,5x112,36,66.5,BENZ E级,si
OYL260416119,oyl260416119-19-mercedes-benz,mercedes-benz,mbi,19,9.0,5x112,42,66.5,BENZ E级,si
OYL260416120,oyl260416120-19-mercedes-benz,mercedes-benz,mb,19,8.0,5x112,36,66.5,BENZ E级,si
OYL260416121,oyl260416121-19-mercedes-benz,mercedes-benz,mb,19,9.0,5x112,42,66.5,BENZ E级,si
OYL260416122,oyl260416122-20-mercedes-benz,mercedes-benz,mb,20,8.5,5x112,36,66.5,BENZ E级,si
OYL260416123,oyl260416123-20-mercedes-benz,mercedes-benz,mb,20,9.5,5x112,43,66.5,BENZ E级,si
OYL260416124,oyl260416124-20-mercedes-benz,mercedes-benz,mib,20,8.5,5x112,36,66.5,BENZ E级,si
OYL260416125,oyl260416125-20-mercedes-benz,mercedes-benz,mib,20,9.5,5x112,43,66.5,BENZ E级,si
OYL260416126,oyl260416126-19-mercedes-benz,mercedes-benz,mb,19,8.0,5x112,38,66.5,BENZ GLC,no
