sku,handle,pista_original,traduccion_es,fiabilidad_traduccion,estado_traduccion,fragmentos_aplicados,notas,estado_pista,verificacion_tecnica,visible_para_el_cliente
OYL260416005,oyl260416005-16-volkswagen,VWPassat领驭 2005,Volkswagen Passat Lingyu 2005,media,traducido_mercado_chino,领驭,"领驭: Volkswagen Passat Lingyu, variante exclusiva del mercado chino.",pista_ilegible,pendiente,no
OYL260416011,oyl260416011-18-mercedes-benz,BENZ C级 威霆,Mercedes-Benz Clase C Vito,baja,ambiguo,"([A-Z]{1,3})\s*级 威霆","威霆: Mercedes Vito, nombre chino 威霆. | la pista mezcla dos vehículos distintos en la misma línea",pista_ilegible,pendiente,no
OYL260416012,oyl260416012-18-volkswagen,VW途岳,Volkswagen Tharu,alta,traducido,途岳,"途岳: Volkswagen Tharu, del mercado chino; en Europa no se vende con ese nombre.",pista_ilegible,pendiente,no
OYL260416013,oyl260416013-18-mercedes-benz,BENZ E级,Mercedes-Benz Clase E,alta,traducido,"([A-Z]{1,3})\s*级",,pista_ilegible,pendiente,no
OYL260416014,oyl260416014-18-bmw,BMW 3系前轮 2019,BMW Serie 3 rueda delantera 2019,alta,traducido,([0-9]+(?:/[0-9]+)*)\s*系 前轮,前轮: Configuración escalonada.,pista_ilegible,pendiente,no
OYL260416015,oyl260416015-18-bmw,BMW 3系后轮 2019,BMW Serie 3 rueda trasera 2019,alta,traducido,([0-9]+(?:/[0-9]+)*)\s*系 后轮,后轮: Configuración escalonada.,pista_ilegible,pendiente,no
OYL260416016,oyl260416016-17-audi,AUDIA4/改装车型,Audi A4/modelos con conversión,media,traducido_mercado_chino,改装车型,改装车型: Vehículo modificado: las medidas de fábrica pueden no aplicar.,pista_ilegible,pendiente,no
OYL260416017,oyl260416017-18-vehiculos-europeos,改装,conversión de posventa,media,traducido_mercado_chino,改装,改装: Vehículo modificado: las medidas de fábrica pueden no aplicar.,pista_ilegible,pendiente,no
OYL260416019,oyl260416019-19-vehiculos-europeos,改装,conversión de posventa,media,traducido_mercado_chino,改装,改装: Vehículo modificado: las medidas de fábrica pueden no aplicar.,pista_ilegible,pendiente,no
OYL260416022,oyl260416022-18-bmw,BMW 5系,BMW Serie 5,alta,traducido,([0-9]+(?:/[0-9]+)*)\s*系,,pista_ilegible,pendiente,no
OYL260416024,oyl260416024-20-bmw,BMW *5后轮,BMW *5 rueda trasera,alta,traducido,后轮,后轮: Configuración escalonada.,pista_ilegible,pendiente,no
OYL260416025,oyl260416025-20-bmw,BMW *5后轮,BMW *5 rueda trasera,alta,traducido,后轮,后轮: Configuración escalonada.,pista_ilegible,pendiente,no
OYL260416040,oyl260416040-18-bmw,BMW 5系,BMW Serie 5,alta,traducido,([0-9]+(?:/[0-9]+)*)\s*系,,pista_ilegible,pendiente,no
OYL260416041,oyl260416041-17-bmw,BMW 5系,BMW Serie 5,alta,traducido,([0-9]+(?:/[0-9]+)*)\s*系,,pista_ilegible,pendiente,no
OYL260416042,oyl260416042-20-bmw,BMW *5前轮,BMW *5 rueda delantera,alta,traducido,前轮,前轮: Configuración escalonada.,pista_ilegible,pendiente,no
OYL260416043,oyl260416043-20-bmw,BMW *5前轮,BMW *5 rueda delantera,alta,traducido,前轮,前轮: Configuración escalonada.,pista_ilegible,pendiente,no
OYL260416044,oyl260416044-20-bmw,BMW *5后轮,BMW *5 rueda trasera,alta,traducido,后轮,后轮: Configuración escalonada.,pista_ilegible,pendiente,no
OYL260416045,oyl260416045-20-bmw,BMW *5前轮,BMW *5 rueda delantera,alta,traducido,前轮,前轮: Configuración escalonada.,pista_ilegible,pendiente,no
OYL260416046,oyl260416046-20-bmw,BMW *5后轮,BMW *5 rueda trasera,alta,traducido,后轮,后轮: Configuración escalonada.,pista_ilegible,pendiente,no
OYL260416047,oyl260416047-20-bmw,BMW *5前轮,BMW *5 rueda delantera,alta,traducido,前轮,前轮: Configuración escalonada.,pista_ilegible,pendiente,no
