sku,product_id,handle,estado_media,url_origen,archivo
OYL260416089,gid://shopify/Product/10898627035469,oyl260416089-19-audi,FAILED,https://novacore-wheel-images.vercel.app/llantas/wheel-design-036.png,wheel-design-036.png
OYL260416102,gid://shopify/Product/10898627756365,oyl260416102-20-audi,FAILED,https://novacore-wheel-images.vercel.app/llantas/wheel-design-039.png,wheel-design-039.png
OYL260416103,gid://shopify/Product/10898627789133,oyl260416103-23-audi,FAILED,https://novacore-wheel-images.vercel.app/llantas/wheel-design-039.png,wheel-design-039.png
OYL260416107,gid://shopify/Product/10898627952973,oyl260416107-18-mercedes-benz,FAILED,https://novacore-wheel-images.vercel.app/llantas/wheel-design-040.png,wheel-design-040.png
OYL260416110,gid://shopify/Product/10898628116813,oyl260416110-20-mercedes-benz,FAILED,https://novacore-wheel-images.vercel.app/llantas/wheel-design-040.png,wheel-design-040.png
OYL260416112,gid://shopify/Product/10898628247885,oyl260416112-20-mercedes-benz,FAILED,https://novacore-wheel-images.vercel.app/llantas/wheel-design-040.png,wheel-design-040.png
OYL260416117,gid://shopify/Product/10898628510029,oyl260416117-18-vehiculos-europeos,FAILED,https://novacore-wheel-images.vercel.app/llantas/wheel-design-041.png,wheel-design-041.png
OYL260416120,gid://shopify/Product/10898628673869,oyl260416120-19-mercedes-benz,FAILED,https://novacore-wheel-images.vercel.app/llantas/wheel-design-041.png,wheel-design-041.png
OYL260416121,gid://shopify/Product/10898628739405,oyl260416121-19-mercedes-benz,FAILED,https://novacore-wheel-images.vercel.app/llantas/wheel-design-041.png,wheel-design-041.png
OYL260416138,gid://shopify/Product/10898629656909,oyl260416138-20-mercedes-benz,FAILED,https://novacore-wheel-images.vercel.app/llantas/wheel-design-044.png,wheel-design-044.png
OYL260416141,gid://shopify/Product/10898629853517,oyl260416141-21-mercedes-benz,FAILED,https://novacore-wheel-images.vercel.app/llantas/wheel-design-044.png,wheel-design-044.png
OYL260416146,gid://shopify/Product/10898630115661,oyl260416146-19-mercedes-benz,FAILED,https://novacore-wheel-images.vercel.app/llantas/wheel-design-045.png,wheel-design-045.png
OYL260416151,gid://shopify/Product/10898630410573,oyl260416151-19-mercedes-benz,FAILED,https://novacore-wheel-images.vercel.app/llantas/wheel-design-046.png,wheel-design-046.png
OYL260416154,gid://shopify/Product/10898630607181,oyl260416154-20-mercedes-benz,FAILED,https://novacore-wheel-images.vercel.app/llantas/wheel-design-046.png,wheel-design-046.png
OYL260416155,gid://shopify/Product/10898630705485,oyl260416155-20-bmw,FAILED,https://novacore-wheel-images.vercel.app/llantas/wheel-design-047.png,wheel-design-047.png
OYL260416168,gid://shopify/Product/10898631426381,oyl260416168-21-bmw,FAILED,https://novacore-wheel-images.vercel.app/llantas/wheel-design-049.png,wheel-design-049.png
OYL260416172,gid://shopify/Product/10898631622989,oyl260416172-19-bmw,FAILED,https://novacore-wheel-images.vercel.app/llantas/wheel-design-050.png,wheel-design-050.png
OYL260416181,gid://shopify/Product/10898632114509,oyl260416181-19-mercedes-benz,FAILED,https://novacore-wheel-images.vercel.app/llantas/wheel-design-053.png,wheel-design-053.png
OYL260416187,gid://shopify/Product/10898632442189,oyl260416187-20-bmw,FAILED,https://novacore-wheel-images.vercel.app/llantas/wheel-design-054.png,wheel-design-054.png
OYL260416188,gid://shopify/Product/10898632507725,oyl260416188-17-audi,FAILED,https://novacore-wheel-images.vercel.app/llantas/wheel-design-055.png,wheel-design-055.png
OYL260416190,gid://shopify/Product/10898632606029,oyl260416190-19-audi,FAILED,https://novacore-wheel-images.vercel.app/llantas/wheel-design-055.png,wheel-design-055.png
