sku,handle,nombre_archivo,vista,orden,alt_es,alt_en,estado_actual,prioridad,severidad,notas_del_propietario
OYL260416260,oyl260416260-19-audi,OYL260416260_frontal_01.jpg,frontal,1,Juego de 4 llantas 19 pulgadas Audi – OYL260416260,,baja resolución,1,critica,
OYL260416261,oyl260416261-19-audi,OYL260416261_frontal_01.jpg,frontal,1,Juego de 4 llantas 19 pulgadas Audi – OYL260416261,,baja resolución,1,critica,
OYL260416262,oyl260416262-19-audi,OYL260416262_frontal_01.jpg,frontal,1,Juego de 4 llantas 19 pulgadas Audi – OYL260416262,,baja resolución,1,critica,
OYL260416263,oyl260416263-20-audi,OYL260416263_frontal_01.jpg,frontal,1,Juego de 4 llantas 20 pulgadas Audi – OYL260416263,,baja resolución,1,critica,
OYL260416264,oyl260416264-20-audi,OYL260416264_frontal_01.jpg,frontal,1,Juego de 4 llantas 20 pulgadas Audi – OYL260416264,,baja resolución,1,critica,
OYL260416265,oyl260416265-20-audi,OYL260416265_frontal_01.jpg,frontal,1,Juego de 4 llantas 20 pulgadas Audi – OYL260416265,,baja resolución,1,critica,
OYL260416266,oyl260416266-21-audi,OYL260416266_frontal_01.jpg,frontal,1,Juego de 4 llantas 21 pulgadas Audi – OYL260416266,,baja resolución,1,critica,
OYL260416267,oyl260416267-21-audi,OYL260416267_frontal_01.jpg,frontal,1,Juego de 4 llantas 21 pulgadas Audi – OYL260416267,,baja resolución,1,critica,
OYL260416268,oyl260416268-21-audi,OYL260416268_frontal_01.jpg,frontal,1,Juego de 4 llantas 21 pulgadas Audi – OYL260416268,,baja resolución,1,critica,
OYL260416269,oyl260416269-21-audi,OYL260416269_frontal_01.jpg,frontal,1,Juego de 4 llantas 21 pulgadas Audi – OYL260416269,,baja resolución,1,critica,
OYL260416270,oyl260416270-22-audi,OYL260416270_frontal_01.jpg,frontal,1,Juego de 4 llantas 22 pulgadas Audi – OYL260416270,,baja resolución,1,critica,
OYL260416271,oyl260416271-22-audi,OYL260416271_frontal_01.jpg,frontal,1,Juego de 4 llantas 22 pulgadas Audi – OYL260416271,,baja resolución,1,critica,
OYL260416272,oyl260416272-22-audi,OYL260416272_frontal_01.jpg,frontal,1,Juego de 4 llantas 22 pulgadas Audi – OYL260416272,,baja resolución,1,critica,
OYL260416273,oyl260416273-22-audi,OYL260416273_frontal_01.jpg,frontal,1,Juego de 4 llantas 22 pulgadas Audi – OYL260416273,,baja resolución,1,critica,
