prioridad,diseno_origen,productos_afectados,ancho_px,alto_px,severidad,motivo,skus
1,wheel-design-072,16,203,187,critica,resolucion muy baja (<300 px); imagen compartida por 16 productos,OYL260416260 OYL260416261 OYL260416262 OYL260416263 OYL260416264 OYL260416265 OYL260416266 OYL260416267 OYL260416268 OYL260416269 OYL260416270 OYL260416271 OYL260416272 OYL260416273 OYL260416274 OYL260416275
2,wheel-design-030,16,204,188,critica,resolucion muy baja (<300 px); imagen compartida por 16 productos,OYL260416065 OYL260416066 OYL260416067 OYL260416068 OYL260416069 OYL260416070 OYL260416071 OYL260416072 OYL260416073 OYL260416074 OYL260416075 OYL260416076 OYL260416077 OYL260416078 OYL260416079 OYL260416080
3,wheel-design-081,10,193,182,critica,resolucion muy baja (<300 px); imagen compartida por 10 productos,OYL260416315 OYL260416316 OYL260416317 OYL260416318 OYL260416319 OYL260416320 OYL260416321 OYL260416322 OYL260416323 OYL260416324
4,wheel-design-066,9,229,197,critica,resolucion muy baja (<300 px); imagen compartida por 9 productos,OYL260416235 OYL260416236 OYL260416237 OYL260416238 OYL260416239 OYL260416240 OYL260416241 OYL260416242 OYL260416243
5,wheel-design-019,8,199,204,critica,resolucion muy baja (<300 px); imagen compartida por 8 productos,OYL260416026 OYL260416027 OYL260416028 OYL260416029 OYL260416030 OYL260416031 OYL260416032 OYL260416033
6,wheel-design-065,7,183,204,critica,resolucion muy baja (<300 px); imagen compartida por 7 productos,OYL260416228 OYL260416229 OYL260416230 OYL260416231 OYL260416232 OYL260416233 OYL260416234
7,wheel-design-023,7,190,190,critica,resolucion muy baja (<300 px); imagen compartida por 7 productos,OYL260416042 OYL260416043 OYL260416044 OYL260416045 OYL260416046 OYL260416047 OYL260416048
8,wheel-design-062,7,208,200,critica,resolucion muy baja (<300 px); imagen compartida por 7 productos,OYL260416215 OYL260416216 OYL260416217 OYL260416218 OYL260416219 OYL260416220 OYL260416221
9,wheel-design-015,6,156,158,critica,resolucion muy baja (<300 px); imagen compartida por 6 productos,OYL260416016 OYL260416017 OYL260416018 OYL260416019 OYL260416020 OYL260416021
10,wheel-design-020,6,174,165,critica,resolucion muy baja (<300 px); imagen compartida por 6 productos,OYL260416034 OYL260416035 OYL260416036 OYL260416037 OYL260416038 OYL260416039
11,wheel-design-029,6,176,167,critica,resolucion muy baja (<300 px); imagen compartida por 6 productos,OYL260416059 OYL260416060 OYL260416061 OYL260416062 OYL260416063 OYL260416064
